Series,Body,Country,L1,L2,L3,L4,Comments,Author,Date,Attachment,Events,Expired
Report,Situational Report,TL,Viqueque,Lacluta,Laline,,,liliana.otilia@mss.gov.tl,2003-08-12,,Same Earthquake,Y
Report,Situational Report,TL,Viqueque,Lacluta,Uma Tolu,,,eduardo.dossantos@tl.mercycorps.org,2003-08-13,,Same Earthquake,Y
Report,Situational Report,TL,Baucau,Laga,Atelari,,,jose.soares@oxfam.org.tl,2003-08-14,,Same Earthquake,Y
Report,Situational Report,TL,Baucau,Laga,Libagua,,,jose.soares@oxfam.org.tl,2003-08-15,,Same Earthquake,Y
Report,Situational Report,TL,Baucau,Laga,Nunira,,,eduardo.dossantos@tl.mercycorps.org,2003-08-16,,Same Earthquake,Y
Report,Same Earthquake Lessons Learnt,TL,Baucau,Laga,Saelari,,,liliana.otilia@mss.gov.tl,2003-08-17,,Same Earthquake,Y
Activity,Community Mitigation Activities,TL,Baucau,Laga,Sagadati,,,adriana.macedo@redcross.tl,2003-08-18,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Baucau,Laga,Samalari,,,jose.soares@oxfam.org.tl,2003-08-19,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Baucau,Laga,Soba,,,adriana.macedo@redcross.tl,2003-08-20,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Baucau,Laga,Tequino Mata,,,eduardo.dossantos@tl.mercycorps.org,2003-08-21,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Manatuto,Laleia,Cairui,,,jose.soares@oxfam.org.tl,2003-08-22,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Manatuto,Laleia,Haturalan,,,adriana.macedo@redcross.tl,2003-08-23,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Manatuto,Laleia,Lifau,,,liliana.otilia@mss.gov.tl,2003-08-24,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Aileu,Laulara,Cotolau,,,eduardo.dossantos@tl.mercycorps.org,2003-08-25,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Aileu,Laulara,Fatisi,,,jose.soares@oxfam.org.tl,2003-08-26,,Same Earthquake,Y
Activity,First Aid,TL,Aileu,Laulara,Madabeno,,,jose.soares@oxfam.org.tl,2003-08-27,,Same Earthquake,Y
Activity,First Aid,TL,Aileu,Laulara,Talitu,,,eduardo.dossantos@tl.mercycorps.org,2003-08-28,,Same Earthquake,Y
Activity,First Aid,TL,Aileu,Laulara,Tohumeta,,,liliana.otilia@mss.gov.tl,2003-08-29,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Lautém,Lautém,Baduro,,,adriana.macedo@redcross.tl,2003-08-30,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Lautém,Lautém,Com,,,jose.soares@oxfam.org.tl,2003-08-31,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Lautém,Lautém,Daudare,,,adriana.macedo@redcross.tl,2003-09-01,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Lautém,Lautém,Euquisi,,,eduardo.dossantos@tl.mercycorps.org,2003-09-02,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Lautém,Lautém,Ililai,,,jose.soares@oxfam.org.tl,2003-09-03,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Lautém,Lautém,Maina I,,,adriana.macedo@redcross.tl,2003-09-04,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Lautém,Lautém,Maina II,,,liliana.otilia@mss.gov.tl,2003-09-05,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Lautém,Lautém,Pairara,,,eduardo.dossantos@tl.mercycorps.org,2003-09-06,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Lautém,Lautém,Parlamento,,,jose.soares@oxfam.org.tl,2003-09-07,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Lautém,Lautém,Serelau,,,jose.soares@oxfam.org.tl,2003-09-08,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Ermera,Letefoho,Catrai Leten,,,eduardo.dossantos@tl.mercycorps.org,2003-09-09,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Ermera,Letefoho,Catrai-Craic,,,liliana.otilia@mss.gov.tl,2003-09-10,,Same Earthquake,Y
Incident,Flooding,TL,Ermera,Letefoho,Ducurai,,,adriana.macedo@redcross.tl,2003-09-11,,Same Earthquake,Y
Incident,Landslide,TL,Ermera,Letefoho,Eraulo,,,jose.soares@oxfam.org.tl,2003-09-12,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Ermera,Letefoho,Goulolo,,,adriana.macedo@redcross.tl,2003-09-13,,Same Earthquake,Y
Incident,Flooding,TL,Ermera,Letefoho,Hatugau,,,eduardo.dossantos@tl.mercycorps.org,2003-09-14,,Same Earthquake,Y
Incident,Landslide,TL,Ermera,Letefoho,Haupu,,,jose.soares@oxfam.org.tl,2003-09-15,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Ermera,Letefoho,Lauana,,,adriana.macedo@redcross.tl,2003-09-16,,Same Earthquake,Y
Incident,Flooding,TL,Liquiçá,Liquiçá,Asumano,,,liliana.otilia@mss.gov.tl,2003-09-17,,Same Earthquake,Y
Incident,Landslide,TL,Liquiçá,Liquiçá,Darulete,,,eduardo.dossantos@tl.mercycorps.org,2003-09-18,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Liquiçá,Liquiçá,Dato,,,jose.soares@oxfam.org.tl,2003-09-19,,Same Earthquake,Y
Incident,Flooding,TL,Liquiçá,Liquiçá,Hatuquessi,,,jose.soares@oxfam.org.tl,2003-09-20,,Same Earthquake,Y
Incident,Landslide,TL,Liquiçá,Liquiçá,Leotala,,,eduardo.dossantos@tl.mercycorps.org,2003-09-21,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Liquiçá,Liquiçá,Loidahar,,,liliana.otilia@mss.gov.tl,2003-09-22,,Same Earthquake,Y
Alert,Heavy Rains Due,TL,Liquiçá,Liquiçá,Luculai,,,liliana.otilia@mss.gov.tl,2004-09-01,,Same Earthquake,Y
Alert,Heavy Flooding in Area,TL,Aileu,Liquidoe,Acubilitoho,,,liliana.otilia@mss.gov.tl,2004-09-02,,Same Earthquake,Y
Alert,More rain expected,TL,Aileu,Liquidoe,Bereleu,,,liliana.otilia@mss.gov.tl,2004-09-03,,Same Earthquake,Y
Alert,High winds,TL,Aileu,Liquidoe,Betulau,,,liliana.otilia@mss.gov.tl,2004-09-04,,Same Earthquake,Y
Alert,More rain expected,TL,Aileu,Liquidoe,Fahisoi,,,liliana.otilia@mss.gov.tl,2004-09-05,,Same Earthquake,Y
Report,Situational Report,TL,Aileu,Liquidoe,Faturilau,,,adriana.macedo@redcross.tl,2004-09-06,,Same Earthquake,Y
Report,Situational Report,TL,Aileu,Liquidoe,Manucasa,,,jose.soares@oxfam.org.tl,2004-09-07,,Same Earthquake,Y
Report,Situational Report,TL,Aileu,Liquidoe,Namoleso,,,adriana.macedo@redcross.tl,2004-09-08,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Deudet,,,eduardo.dossantos@tl.mercycorps.org,2004-09-09,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Gildapil,,,jose.soares@oxfam.org.tl,2004-09-10,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Guda,,,adriana.macedo@redcross.tl,2004-09-11,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Lebos,,,liliana.otilia@mss.gov.tl,2004-09-12,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Lontas,,,eduardo.dossantos@tl.mercycorps.org,2004-09-13,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Lupal,,,jose.soares@oxfam.org.tl,2004-09-14,,Same Earthquake,Y
Report,Situational Report,TL,Bobonaro,Lolotoe,Opa,,,jose.soares@oxfam.org.tl,2004-09-15,,Same Earthquake,Y
Report,Situational Report,TL,Lautém,Lospalos,Bauro,,,eduardo.dossantos@tl.mercycorps.org,2004-09-16,,Same Earthquake,Y
Report,Same Earthquake Lessons Learnt,TL,Lautém,Lospalos,Cacavem,,,liliana.otilia@mss.gov.tl,2004-09-17,,Same Earthquake,Y
Activity,Community Mitigation Activities,TL,Lautém,Lospalos,Fuiloro,,,adriana.macedo@redcross.tl,2004-09-18,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Lautém,Lospalos,Home,,,jose.soares@oxfam.org.tl,2004-09-19,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Lautém,Lospalos,Leuro,,,adriana.macedo@redcross.tl,2004-09-20,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Lautém,Lospalos,Lore I,,,eduardo.dossantos@tl.mercycorps.org,2004-09-21,,Same Earthquake,Y
Activity,Distribution of NFIs,TL,Lautém,Lospalos,Lore II,,,jose.soares@oxfam.org.tl,2004-09-22,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Lautém,Lospalos,Muapitine,,,adriana.macedo@redcross.tl,2004-09-23,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Lautém,Lospalos,Raca,,,liliana.otilia@mss.gov.tl,2004-09-24,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Lautém,Lospalos,Souro,,,eduardo.dossantos@tl.mercycorps.org,2004-09-25,,Same Earthquake,Y
Activity,Reconstruction of Houses,TL,Lautém,Luro,Cotamutu,,,jose.soares@oxfam.org.tl,2004-09-26,,Same Earthquake,Y
Activity,First Aid,TL,Lautém,Luro,Luro,,,jose.soares@oxfam.org.tl,2004-09-27,,Same Earthquake,Y
Activity,First Aid,TL,Lautém,Luro,Wairoce,,,eduardo.dossantos@tl.mercycorps.org,2004-09-28,,Same Earthquake,Y
Activity,First Aid,TL,Bobonaro,Maliana,Holsa,,,liliana.otilia@mss.gov.tl,2004-09-29,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Bobonaro,Maliana,Lahomea,,,adriana.macedo@redcross.tl,2004-09-30,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Maliana,Odomau,,,jose.soares@oxfam.org.tl,2004-10-01,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Bobonaro,Maliana,Raifun,,,adriana.macedo@redcross.tl,2004-10-02,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Bobonaro,Maliana,Ritabou,,,eduardo.dossantos@tl.mercycorps.org,2004-10-03,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Maliana,Saburai,,,jose.soares@oxfam.org.tl,2004-10-04,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Bobonaro,Maliana,Tapo/Memo,,,adriana.macedo@redcross.tl,2004-10-05,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Manatuto,Manatuto,Ailili,,,liliana.otilia@mss.gov.tl,2004-10-06,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Manatuto,Manatuto,Aiteas,,,eduardo.dossantos@tl.mercycorps.org,2004-10-07,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Manatuto,Manatuto,Cribas,,,jose.soares@oxfam.org.tl,2004-10-08,,Same Earthquake,Y
Assessment,Damage Assessment,TL,Manatuto,Manatuto,Iliheu,,,jose.soares@oxfam.org.tl,2004-10-09,,Same Earthquake,Y
Assessment,Community Needs Assessment,TL,Manatuto,Manatuto,Ma'abat,,,eduardo.dossantos@tl.mercycorps.org,2004-10-10,,Same Earthquake,Y
Assessment,Area Assessment ,TL,Manatuto,Manatuto,Sau,,,liliana.otilia@mss.gov.tl,2004-10-11,,Same Earthquake,Y
Incident,Flooding,TL,Liquiçá,Maubara,Gugleur,,,adriana.macedo@redcross.tl,2004-10-12,,Same Earthquake,Y
Incident,Landslide,TL,Liquiçá,Maubara,Guico,,,jose.soares@oxfam.org.tl,2004-10-13,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Liquiçá,Maubara,Lissadila,,,adriana.macedo@redcross.tl,2004-10-14,,Same Earthquake,Y
Incident,Flooding,TL,Liquiçá,Maubara,Maubaralissa,,,eduardo.dossantos@tl.mercycorps.org,2004-10-15,,Same Earthquake,Y
Incident,Landslide,TL,Liquiçá,Maubara,Vatuboro,,,jose.soares@oxfam.org.tl,2004-10-16,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Liquiçá,Maubara,Vatuvou,,,adriana.macedo@redcross.tl,2004-10-17,,Same Earthquake,Y
Incident,Flooding,TL,Liquiçá,Maubara,Vaviquinia,,,liliana.otilia@mss.gov.tl,2004-10-18,,Same Earthquake,Y
Incident,Landslide,TL,Ainaro,Maubisse,Aitutu,,,eduardo.dossantos@tl.mercycorps.org,2004-10-19,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Ainaro,Maubisse,Edi,,,jose.soares@oxfam.org.tl,2004-10-20,,Same Earthquake,Y
Incident,Flooding,TL,Ainaro,Maubisse,Fatu-Besi,,,jose.soares@oxfam.org.tl,2004-10-21,,Same Earthquake,Y
Incident,Landslide,TL,Ainaro,Maubisse,Horai-Quic,,,eduardo.dossantos@tl.mercycorps.org,2004-10-22,,Same Earthquake,Y
Incident,Houses Destroyied,TL,Ainaro,Maubisse,Manelobas,,,liliana.otilia@mss.gov.tl,2004-10-23,,Same Earthquake,Y
Alert,Heavy Rains Due,TL,Ainaro,Maubisse,Manetu,,,liliana.otilia@mss.gov.tl,2005-10-01,,Aileu Floods,Y
Alert,Heavy Flooding in Area,TL,Ainaro,Maubisse,Maubisse,,,liliana.otilia@mss.gov.tl,2005-10-02,,Aileu Floods,Y
Alert,More rain expected,TL,Ainaro,Maubisse,Maulau,,,liliana.otilia@mss.gov.tl,2005-10-03,,Aileu Floods,Y
Alert,High winds,TL,Ainaro,Maubisse,Suco Liurai,,,liliana.otilia@mss.gov.tl,2005-10-04,,Aileu Floods,Y
Alert,More rain expected,TL,Covalima,Maucatar,Belecasac,,,liliana.otilia@mss.gov.tl,2005-10-05,,Aileu Floods,Y
Report,Situational Report,TL,Covalima,Maucatar,Holpilat,,,adriana.macedo@redcross.tl,2005-10-06,,Aileu Floods,Y
Report,Situational Report,TL,Covalima,Maucatar,Matai,,,jose.soares@oxfam.org.tl,2005-10-07,,Aileu Floods,Y
Report,Situational Report,TL,Covalima,Maucatar,Ogues,,,adriana.macedo@redcross.tl,2005-10-08,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Metinaro,Duyung (Sereia),,,eduardo.dossantos@tl.mercycorps.org,2005-10-09,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Metinaro,Sabuli,,,jose.soares@oxfam.org.tl,2005-10-10,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Acadiru Hun,,,adriana.macedo@redcross.tl,2005-10-11,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Bemori,,,liliana.otilia@mss.gov.tl,2005-10-12,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Bidau Lecidere,,,eduardo.dossantos@tl.mercycorps.org,2005-10-13,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Gricenfor,,,jose.soares@oxfam.org.tl,2005-10-14,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Lahane Oriental,,,jose.soares@oxfam.org.tl,2005-10-15,,Aileu Floods,Y
Report,Situational Report,TL,Dili,Nain Feto,Santa Cruz,,,eduardo.dossantos@tl.mercycorps.org,2005-10-16,,Aileu Floods,Y
Report,Aileu Floods Lessons Learnt,TL,Oecusse,Nitibe,Banafi,,,liliana.otilia@mss.gov.tl,2005-10-17,,Aileu Floods,Y
Activity,Community Mitigation Activities,TL,Oecusse,Nitibe,Bene-Ufe,,,adriana.macedo@redcross.tl,2005-10-18,,Aileu Floods,Y
Activity,Distribution of NFIs,TL,Oecusse,Nitibe,Lela-Ufe,,,jose.soares@oxfam.org.tl,2005-10-19,,Aileu Floods,Y
Activity,Distribution of NFIs,TL,Oecusse,Nitibe,Suni-Ufe,,,adriana.macedo@redcross.tl,2005-10-20,,Aileu Floods,Y
Activity,Distribution of NFIs,TL,Oecusse,Nitibe,Usi-Taco,,,eduardo.dossantos@tl.mercycorps.org,2005-10-21,,Aileu Floods,Y
Activity,Distribution of NFIs,TL,Oecusse,Oesilo,Bobometo,,,jose.soares@oxfam.org.tl,2005-10-22,,Aileu Floods,Y
Activity,Reconstruction of Houses,TL,Oecusse,Oesilo,Usi-Tacae,,,adriana.macedo@redcross.tl,2005-10-23,,Aileu Floods,Y
Activity,Reconstruction of Houses,TL,Oecusse,Oesilo,Usi-Taqueno,,,liliana.otilia@mss.gov.tl,2005-10-24,,Aileu Floods,Y
Activity,Reconstruction of Houses,TL,Viqueque,Ossu,Builale,,,eduardo.dossantos@tl.mercycorps.org,2005-10-25,,Aileu Floods,Y
Activity,Reconstruction of Houses,TL,Viqueque,Ossu,Liaruca,,,jose.soares@oxfam.org.tl,2005-10-26,,Aileu Floods,Y
Activity,First Aid,TL,Viqueque,Ossu,Loi-Huno,,,jose.soares@oxfam.org.tl,2005-10-27,,Aileu Floods,Y
Activity,First Aid,TL,Viqueque,Ossu,Nahareca,,,eduardo.dossantos@tl.mercycorps.org,2005-10-28,,Aileu Floods,Y
Activity,First Aid,TL,Viqueque,Ossu,Ossorua,,,liliana.otilia@mss.gov.tl,2005-10-29,,Aileu Floods,Y
Assessment,Damage Assessment,TL,Viqueque,Ossu,Ossu de Cima,,,adriana.macedo@redcross.tl,2005-10-30,,Aileu Floods,Y
Assessment,Community Needs Assessment,TL,Viqueque,Ossu,Uabubo,,,jose.soares@oxfam.org.tl,2005-10-31,,Aileu Floods,Y
Assessment,Area Assessment ,TL,Viqueque,Ossu,Uaguia,,,adriana.macedo@redcross.tl,2005-11-01,,Aileu Floods,Y
Assessment,Damage Assessment,TL,Viqueque,Ossu,Uaibobo,,,eduardo.dossantos@tl.mercycorps.org,2005-11-02,,Aileu Floods,Y
Assessment,Community Needs Assessment,TL,Oecusse,Pante Macasar,Bobocase,,,jose.soares@oxfam.org.tl,2005-11-03,,Aileu Floods,Y
Assessment,Area Assessment ,TL,Oecusse,Pante Macasar,Costa,,,adriana.macedo@redcross.tl,2005-11-04,,Aileu Floods,Y
Assessment,Damage Assessment,TL,Oecusse,Pante Macasar,Cunha,,,liliana.otilia@mss.gov.tl,2005-11-05,,Aileu Floods,Y
Assessment,Community Needs Assessment,TL,Oecusse,Pante Macasar,Lalisuc,,,eduardo.dossantos@tl.mercycorps.org,2005-11-06,,Aileu Floods,Y
Assessment,Area Assessment ,TL,Oecusse,Pante Macasar,Lifau,,,jose.soares@oxfam.org.tl,2005-11-07,,Aileu Floods,Y
Assessment,Damage Assessment,TL,Oecusse,Pante Macasar,Naimeco,,,jose.soares@oxfam.org.tl,2005-11-08,,Aileu Floods,Y
Assessment,Community Needs Assessment,TL,Oecusse,Pante Macasar,Nipani,,,eduardo.dossantos@tl.mercycorps.org,2005-11-09,,Aileu Floods,Y
Assessment,Area Assessment ,TL,Oecusse,Pante Macasar,Taiboco,,,liliana.otilia@mss.gov.tl,2005-11-10,,Aileu Floods,Y
Incident,Flooding,TL,Oecusse,Passabe,Abani,,,adriana.macedo@redcross.tl,2005-11-11,,Aileu Floods,Y
Incident,Landslide,TL,Oecusse,Passabe,Malelat,,,jose.soares@oxfam.org.tl,2005-11-12,,Aileu Floods,Y
Incident,Houses Destroyied,TL,Baucau,Quelicai,Abafala,,,adriana.macedo@redcross.tl,2005-11-13,,Aileu Floods,Y
Incident,Flooding,TL,Baucau,Quelicai,Abo,,,eduardo.dossantos@tl.mercycorps.org,2005-11-14,,Aileu Floods,Y
Incident,Landslide,TL,Baucau,Quelicai,Afaca,,,jose.soares@oxfam.org.tl,2005-11-15,,Aileu Floods,Y
Incident,Houses Destroyied,TL,Baucau,Quelicai,Baguia,,,adriana.macedo@redcross.tl,2005-11-16,,Aileu Floods,Y
Incident,Flooding,TL,Baucau,Quelicai,Bualale,,,liliana.otilia@mss.gov.tl,2005-11-17,,Aileu Floods,Y
Incident,Landslide,TL,Baucau,Quelicai,Guruca,,,eduardo.dossantos@tl.mercycorps.org,2005-11-18,,Aileu Floods,Y
Incident,Houses Destroyied,TL,Baucau,Quelicai,Laisorolai de Baixo,,,jose.soares@oxfam.org.tl,2005-11-19,,Aileu Floods,Y
Incident,Flooding,TL,Baucau,Quelicai,Laisorolai de Cima,,,jose.soares@oxfam.org.tl,2005-11-20,,Aileu Floods,Y
Incident,Landslide,TL,Baucau,Quelicai,Lelalai,,,eduardo.dossantos@tl.mercycorps.org,2005-11-21,,Aileu Floods,Y
Incident,Houses Destroyied,TL,Baucau,Quelicai,Letemuno,,,liliana.otilia@mss.gov.tl,2005-11-22,,Aileu Floods,Y
Alert,Heavy Rains Due,TL,Baucau,Quelicai,Locoliu,,,liliana.otilia@mss.gov.tl,2006-11-01,,Drought Zumalai,Y
Alert,Heavy Flooding in Area,TL,Baucau,Quelicai,Macalaco,,,liliana.otilia@mss.gov.tl,2006-11-02,,Drought Zumalai,Y
Alert,More rain expected,TL,Baucau,Quelicai,Namanei,,,liliana.otilia@mss.gov.tl,2006-11-03,,Drought Zumalai,Y
Alert,High winds,TL,Baucau,Quelicai,Waitame,,,liliana.otilia@mss.gov.tl,2006-11-04,,Drought Zumalai,Y
Alert,More rain expected,TL,Ermera,Railaco,Deleco,,,liliana.otilia@mss.gov.tl,2006-11-05,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Fatuquero,,,adriana.macedo@redcross.tl,2006-11-06,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Lihu,,,jose.soares@oxfam.org.tl,2006-11-07,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Matata,,,adriana.macedo@redcross.tl,2006-11-08,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Railaco Craic,,,eduardo.dossantos@tl.mercycorps.org,2006-11-09,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Railaco Leten,,,jose.soares@oxfam.org.tl,2006-11-10,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Samalete,,,adriana.macedo@redcross.tl,2006-11-11,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Taraso,,,liliana.otilia@mss.gov.tl,2006-11-12,,Drought Zumalai,Y
Report,Situational Report,TL,Ermera,Railaco,Tocoluli,,,eduardo.dossantos@tl.mercycorps.org,2006-11-13,,Drought Zumalai,Y
Report,Situational Report,TL,Aileu,Remexio,Acumau,,,jose.soares@oxfam.org.tl,2006-11-14,,Drought Zumalai,Y
Report,Situational Report,TL,Aileu,Remexio,Fadabloco,,,jose.soares@oxfam.org.tl,2006-11-15,,Drought Zumalai,Y
Report,Situational Report,TL,Aileu,Remexio,Fahisoi,,,eduardo.dossantos@tl.mercycorps.org,2006-11-16,,Drought Zumalai,Y
Report,Drought Zumalai Lessons Learnt,TL,Aileu,Remexio,Faturasa,,,liliana.otilia@mss.gov.tl,2006-11-17,,Drought Zumalai,Y
Activity,Community Mitigation Activities,TL,Aileu,Remexio,Hautoho,,,adriana.macedo@redcross.tl,2006-11-18,,Drought Zumalai,Y
Activity,Distribution of NFIs,TL,Aileu,Remexio,Maumeta,,,jose.soares@oxfam.org.tl,2006-11-19,,Drought Zumalai,Y
Activity,Distribution of NFIs,TL,Aileu,Remexio,Suco-Liurai,,,adriana.macedo@redcross.tl,2006-11-20,,Drought Zumalai,Y
Activity,Distribution of NFIs,TL,Aileu,Remexio,Tulataqueo,,,eduardo.dossantos@tl.mercycorps.org,2006-11-21,,Drought Zumalai,Y
Activity,Distribution of NFIs,TL,Manufahi,Same,Babulu,,,jose.soares@oxfam.org.tl,2006-11-22,,Drought Zumalai,Y
Activity,Reconstruction of Houses,TL,Manufahi,Same,Betano,,,adriana.macedo@redcross.tl,2006-11-23,,Drought Zumalai,Y
Activity,Reconstruction of Houses,TL,Manufahi,Same,Daisua,,,liliana.otilia@mss.gov.tl,2006-11-24,,Drought Zumalai,Y
Activity,Reconstruction of Houses,TL,Manufahi,Same,Grotu,,,eduardo.dossantos@tl.mercycorps.org,2006-11-25,,Drought Zumalai,Y
Activity,Reconstruction of Houses,TL,Manufahi,Same,Holarua,,,jose.soares@oxfam.org.tl,2006-11-26,,Drought Zumalai,Y
Activity,First Aid,TL,Manufahi,Same,Letefoho,,,jose.soares@oxfam.org.tl,2006-11-27,,Drought Zumalai,Y
Activity,First Aid,TL,Manufahi,Same,Tutuluro,,,eduardo.dossantos@tl.mercycorps.org,2006-11-28,,Drought Zumalai,Y
Activity,First Aid,TL,Manatuto,Soibada,Fatumacerec,,,liliana.otilia@mss.gov.tl,2006-11-29,,Drought Zumalai,Y
Assessment,Damage Assessment,TL,Manatuto,Soibada,Leo Hat,,,adriana.macedo@redcross.tl,2006-11-30,,Drought Zumalai,Y
Assessment,Community Needs Assessment,TL,Manatuto,Soibada,Manlala,,,jose.soares@oxfam.org.tl,2006-12-01,,Drought Zumalai,Y
Assessment,Area Assessment ,TL,Manatuto,Soibada,Manufahi,,,adriana.macedo@redcross.tl,2006-12-02,,Drought Zumalai,Y
Assessment,Damage Assessment,TL,Manatuto,Soibada,Samoro,,,eduardo.dossantos@tl.mercycorps.org,2006-12-03,,Drought Zumalai,Y
Assessment,Community Needs Assessment,TL,Covalima,Suai,Beco,,,jose.soares@oxfam.org.tl,2006-12-04,,Drought Zumalai,Y
Assessment,Area Assessment ,TL,Covalima,Suai,Camenasa,,,adriana.macedo@redcross.tl,2006-12-05,,Drought Zumalai,Y
Assessment,Damage Assessment,TL,Covalima,Suai,Debos,,,liliana.otilia@mss.gov.tl,2006-12-06,,Drought Zumalai,Y
Assessment,Community Needs Assessment,TL,Covalima,Suai,Labarai,,,eduardo.dossantos@tl.mercycorps.org,2006-12-07,,Drought Zumalai,Y
Assessment,Area Assessment ,TL,Covalima,Suai,Suai Loro,,,jose.soares@oxfam.org.tl,2006-12-08,,Drought Zumalai,Y
Assessment,Damage Assessment,TL,Covalima,Tilomar,Casabauc,,,jose.soares@oxfam.org.tl,2006-12-09,,Drought Zumalai,Y
Assessment,Community Needs Assessment,TL,Covalima,Tilomar,Foholulic,,,eduardo.dossantos@tl.mercycorps.org,2006-12-10,,Drought Zumalai,Y
Assessment,Area Assessment ,TL,Covalima,Tilomar,Lalawa,,,liliana.otilia@mss.gov.tl,2006-12-11,,Drought Zumalai,Y
Incident,Flooding,TL,Covalima,Tilomar,Maudemo,,,adriana.macedo@redcross.tl,2006-12-12,,Drought Zumalai,Y
Incident,Landslide,TL,Manufahi,Turiscai,Aitemua,,,jose.soares@oxfam.org.tl,2006-12-13,,Drought Zumalai,Y
Incident,Houses Destroyied,TL,Manufahi,Turiscai,Beremana,,,adriana.macedo@redcross.tl,2006-12-14,,Drought Zumalai,Y
Incident,Flooding,TL,Manufahi,Turiscai,Caimauc,,,eduardo.dossantos@tl.mercycorps.org,2006-12-15,,Drought Zumalai,Y
Incident,Landslide,TL,Manufahi,Turiscai,Fatucalo,,,jose.soares@oxfam.org.tl,2006-12-16,,Drought Zumalai,Y
Incident,Houses Destroyied,TL,Manufahi,Turiscai,Foholau,,,adriana.macedo@redcross.tl,2006-12-17,,Drought Zumalai,Y
Incident,Flooding,TL,Manufahi,Turiscai,Lesuata,,,liliana.otilia@mss.gov.tl,2006-12-18,,Drought Zumalai,Y
Incident,Landslide,TL,Manufahi,Turiscai,Liurai,,,eduardo.dossantos@tl.mercycorps.org,2006-12-19,,Drought Zumalai,Y
Incident,Houses Destroyied,TL,Manufahi,Turiscai,Manumera,,,jose.soares@oxfam.org.tl,2006-12-20,,Drought Zumalai,Y
