Name,Country,L1,L2,L3,L4,Lat,Lon
"Mundol",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Chaleyshay",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Chubabsa",BT,"Tsirang","Pungtenchu","Peljorling","Chhubabsa(Tshangay)",,
"Golaytar",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Goleytar Amaley Kulu",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Upper Chagay",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Bangtar Kulu",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Draagithog(S/Melay)",,
"Aleydarey KULU",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Saurani KULU",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Devithan",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Tilay Kulu",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Gurung Kulu",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Chedhey KULU",BT,"Tsirang","Pungtenchu","Serzhong","Serzhong(Phaleday)",,
"Devi Thaney",BT,"Tsirang","Pungtenchu","Serzhong","Serzhong(Phaleday)",,
"Paray Kulu",BT,"Tsirang","Pungtenchu","Serzhong","Serzhong(Phaleday)",,
"Khorong Kulu",BT,"Tsirang","Pungtenchu","Serzhong","Chhubabsa(Tshangay)",,
"Devi Thaney",BT,"Tsirang","Pungtenchu","Norbuthang",,,
"Phelingtar",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Draagithog(S/Melay)",,
"Thrulu Kulu",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Tongshinggang(T/ Melay)",,
"khaling kulu",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Draagithog(S/Melay)",,
"Rumdaley Kulu A",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Draagithog(S/Melay)",,
"Rumdaley Kulu B",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Draagithog(S/Melay)",,
"Karani Kulu",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Dhodomchen (Dhapk- hola)",,
"Dorokhey KULU",BT,"Tsirang","Pungtenchu","Goentegkha_Tong- shinggang","Tongshinggang(T/ Melay)",,
"Tashipang Kulu",BT,"Tsirang","Mendrelgang","Tashipang","Tashipang(Gurungaon)",,
"Jurkey Kulo",BT,"Tsirang","Mendrelgang","Pemashong_Samsh- ing Gaden","Pemashong(Sarkigaon)",,
"Danapati Kulo",BT,"Tsirang","Mendrelgang","Mendrelgang","Mendrelgang (Lami- dara)",,
"Thaglal Kulo",BT,"Tsirang","Mendrelgang","Mendrelgang","Mendrelgang (Lami- dara)",,
"Antaray Kulo",BT,"Tsirang","Mendrelgang","Riserbu","Riserbu(Rateykhola)",,
"Bja-Goe Menchu",BT,"Paro","Lungnyi","Jieu_Woochhu","Jieu",,
"Damthangkha",BT,"Paro","Lungnyi","Jieu_Woochhu","Woochhu",,
"Bjam-Tasa",BT,"Paro","Lungnyi","Jieu_Woochhu","Jieu",,
"Densuna",BT,"Paro","Lungnyi","Jieu_Woochhu","Jieu",,
"Jew-Phu",BT,"Paro","Lungnyi","Jieu_Woochhu","Jieu",,
"Khey-Karpo",BT,"Paro","Lungnyi","Naemjog","Naemjog",,
"Tshoreykha",BT,"Paro","Lungnyi","Dzongdraag_Gadraag","Dzongdraagkha",,
"Bjazhi Zampa",BT,"Paro","Lungnyi","Dzongdraag_Gadraag","Gadraagna",,
"Zanglay La",BT,"Paro","Lungnyi","Dzongdraag_Gadraag","Gadraagna",,
"Bozena",BT,"Paro","Lungnyi","Dzongdraag_Gadraag","Gadraagna",,
"Gabja-Rongchu",BT,"Paro","Lungnyi","Baangdey","Baangdey",,
"Remina",BT,"Paro","Lungnyi","Baangdey",,,
"Gungbu",BT,"Paro","Lungnyi","Pangbisa",,,
"Chab Babsa",BT,"Paro","Lungnyi","Pangbisa","Ugyenguru",,
"Zhamjana",BT,"Paro","Lungnyi","Pangbisa",,,
"Sel-Chhu",BT,"Paro","Doteng","Jabji_Loogchhoed",,,
"Katekha",BT,"Paro","Doteng","Jabji_Loogchhoed",,,
"Woogar Lungchhu",BT,"Paro","Doteng","Aa-tsho_Phunoob",,,
"Barmai Lungchhu",BT,"Paro","Doteng","Aa-tsho_Phunoob",,,
"Drakey Phang Tshochhu",BT,"Paro","Doteng","Aa-tsho_Phunoob",,,
"Guruphang Tshoye Chhu",BT,"Paro","Doteng","Phooshar",,,
"Nye Gongmai Chhu",BT,"Paro","Doteng","Phooshar",,,
"Zhingri Lung Chhu",BT,"Paro","Doteng","Phooshar",,,
"Chhoekhor Doesai Chhu",BT,"Paro","Doteng","Phooshar",,,
"Sergi Lung Chhu",BT,"Paro","Doteng","Phooshar",,,
"Dampa Rong Chhu",BT,"Paro","Doteng","Phooshar",,,
"Kotey Zelchhu",BT,"Paro","Doteng","Chhubar",,,
"Gong Chhu",BT,"Paro","Doteng","Joogar_Pachhu",,,
"Gongmed Lung Chhu",BT,"Paro","Doteng","Joogar_Pachhu",,,
"Wagombrak",BT,"Monggar","Narang","Dongshom","Dongshum",,
"Wagombrak",BT,"Monggar","Narang","Thrinangphu","Gutshaphu",,
"Dongri",BT,"Monggar","Narang","Khalong","Deki Pangthang",,
"Rekha Pek",BT,"Monggar","Narang","Gomchu","Brokchilu",,
"Benjo Lungchhu",BT,"Paro","Tsento","Chhungjey_Zamsar","Zamsar",,
"Damphu Lungchhu",BT,"Paro","Tsento","Chhungjey_Zamsar","Zamsar",,
"Chunjey Lungchhu",BT,"Paro","Tsento","Chhungjey_Zamsar","Chhungjey",,
"Gomre Phurang Chhu",BT,"Paro","Tsento","Chhungjey_Zamsar","Chhungjey",,
"Chula Lum",BT,"Paro","Tsento","Mitshig_Shana","Shana",,
"Thariphu Chhu",BT,"Paro","Tsento","Mitshig_Shana","Shana",,
"Phuchunang Lum Chhu",BT,"Paro","Tsento","Mitshig_Shana","Chhuyul",,
"Zona Lum Chhu",BT,"Paro","Tsento","Mitshig_Shana","Lemdo",,
"Chakha Chhu",BT,"Paro","Tsento","Mitshig_Shana","Mitshig",,
"Yoegophu Lum Chhu",BT,"Paro","Tsento","Mitshig_Shana","Mitshig",,
"Kalungka",BT,"Paro","Tsento","Nyamjey_Phangdo","Phangdo",,
"Dhamphu Dokasham",BT,"Paro","Tsento","Nyamjey_Phangdo","Phangdo",,
"Balaha",BT,"Paro","Tsento","Nyamjey_Phangdo","Phangdo",,
"Nyechhu Phu",BT,"Paro","Tsento","Nyechhu_Shar-ri","Nyechhu",,
"Jagayphu",BT,"Paro","Tsento","Nyechhu_Shar-ri","Shar-ri (Tsendo)",,
"Tsenjophu",BT,"Paro","Tsento","Nyechhu_Shar-ri","Shar-ri (Tsendo)",,
"Tshampahire",BT,"Monggar","Balam","Balam","Upper Balam",,
"Mantshangre",BT,"Monggar","Balam","Balam","Upper Balam",,
"Zorbrangsa Re",BT,"Monggar","Balam","Balam","Upper Balam",,
"Karshingchamo Re",BT,"Monggar","Balam","Balam","Upper Balam",,
"Narchhulu Re",BT,"Monggar","Balam","Khebshing","Bangnehoi",,
"Zala Re",BT,"Monggar","Balam","Selkhar","Shelri Pam",,
"Sangyangmo Re",BT,"Monggar","Balam","Selkhar","Selkhar",,
"Dungmanma Re",BT,"Monggar","Balam","Selkhar","Dungmanba",,
"Gumpoktor Re",BT,"Monggar","Balam","Selkhar","Gumpoktor",,
"Radhi",BT,"Monggar","Balam","Selkhar","Radhi",,
"Zalakhe",BT,"Monggar","Balam","Jadung","Upper jadung",,
"Shingchong Re",BT,"Monggar","Balam","Jadung","Upper jadung",,
"Yourangbu",BT,"Monggar","Balam","Jadung","Yangbari",,
"Karmacholing",BT,"Monggar","Chhali","Gonpa","Karmacholing",,
"Satshalo spring",BT,"Monggar","Chaskhar","Doongsingma_Pam","Dungsingma",,
"Balam",BT,"Monggar","Chaskhar","Borphai_Chagsakhar","Balam",,
"Gumdari",BT,"Monggar","Chaskhar","Yetong_Jarshingpogtor","Gumdari",,
"Yabung",BT,"Monggar","Chaskhar","Kharnang_Kheshingra","Sangbari",,
"Jakjoi",BT,"Monggar","Chaskhar","Yangrapoongshing","Jakhoi",,
"Gop",BT,"Monggar","Drametse","Ba-Ging_Shadang","Baging",,
"Waichur",BT,"Monggar","Drametse","Ba-Ging_Shadang","Baging",,
"Shaphangma",BT,"Monggar","Drametse","Drametse_Shaphangma","Shaphangma",,
"Yengkhartshing",BT,"Monggar","Drametse","Drametse_Shaphangma","Drametse",,
"Daksamanang",BT,"Monggar","Drepung","Drepoong","Daksamanang",,
"Bainang Re",BT,"Monggar","Drepung","Nyamla Bainangri","Bainangri",,
"Daksamanang",BT,"Monggar","Drepung","Nyamla Bainangri","Nyamla",,
"Yejib",BT,"Monggar","Drepung","Zunglen","Zunglen",,
"Yetsalo",BT,"Monggar","Drepung","Tsangkhar","Chaksuzor",,
"Chaksuzor",BT,"Monggar","Drepung","Tsangkhar","Tsangkhar",,
"Daksamanang",BT,"Monggar","Drepung","Drepoong","Tadzong",,
"Sakarmi, Woop",BT,"Monggar","Drepung","Drepoong","Woop pek",,
"Damkhar",BT,"Monggar","Gongdue","Damkhar_Weringla","Damkhar",,
"Pangthang",BT,"Monggar","Gongdue","Damkhar_Weringla","Pangthang",,
"Salabi",BT,"Monggar","Gongdue","Damkhar_Weringla","Salabi",,
"Weiringla",BT,"Monggar","Gongdue","Damkhar_Weringla","Weringla",,
"Gorthongla",BT,"Monggar","Gongdue","Phazong","Gorthongla",,
"Pam",BT,"Monggar","Gongdue","Phazong","Pam",,
"Medene",BT,"Monggar","Gongdue","Phazong","Medene",,
"Bangbangla",BT,"Monggar","Gongdue","Phazong","Bangbangla",,
"Daksa",BT,"Monggar","Gongdue","Daagsa_Kumazong","Daksa",,
"Kumazong",BT,"Monggar","Gongdue","Daagsa_Kumazong","Kumadzong",,
"Bograbi",BT,"Monggar","Gongdue","Daagsa_Kumazong","Bogarbi",,
"Bakla",BT,"Monggar","Gongdue","Baagla_Dengkaling","Bakla",,
"Edi",BT,"Monggar","Gongdue","Baagla_Dengkaling","Edi",,
"Yangbari",BT,"Monggar","Gongdue","Pikari_Yangbari","Yangbari",,
"Kormaed",BT,"Monggar","Gongdue","Pikari_Yangbari","Kormaed",,
"Laptsari",BT,"Monggar","Jurmed","Bilam_Dangkila","Bilam",,
"Menchuri",BT,"Monggar","Jurmed","Bilam_Dangkila","Bilam",,
"Sengri",BT,"Monggar","Jurmed","Moogtangkhar_Tsangkhazor","Muktangkhar",,
"Yarakla",BT,"Monggar","Jurmed","Koknala_Ya-Ragla","Ya-Rakla",,
"Wagombrak",BT,"Monggar","Narang","Dongshom","Bemeri",,
"Dongshum",BT,"Monggar","Narang","Dongshom","Dongshum",,
"Wagombrak",BT,"Monggar","Narang","Thrinangphu","Thrinangphu",,
"Wagombrak",BT,"Monggar","Narang","Na-Rang","Narang",,
"Rekha Pek",BT,"Monggar","Narang","Gomchu","Gomchu",,
"Dongri",BT,"Monggar","Narang","Khalong","Khalong",,
"Dochuri",BT,"Monggar","Kengkhar","Phosothong_singchongri","Shingchongri",,
"Daiohodrang",BT,"Monggar","Kengkhar","Phosothong_singchongri","Shingchongri",,
"Daiphodrang",BT,"Monggar","Kengkhar","Phosothong_singchongri","Trangthung",,
"Ngoithufuri",BT,"Monggar","Kengkhar","Phosothong_singchongri","Munma",,
"Mukeyamari",BT,"Monggar","Kengkhar","Phosothong_singchongri","Gongpa",,
"Mukeymari",BT,"Monggar","Kengkhar","Phosothong_singchongri","Brongphu",,
"Singsiri",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Dogtang",,
"Singsiri",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Pangthang",,
"Tsangdari",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Murung",,
"Kaisekma",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Murung",,
"Dowri",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Romangla",,
"Omshari",BT,"Monggar","Kengkhar","Dogtang_Mooroong","Dogtang",,
"Dongdala",BT,"Monggar","Kengkhar","Olokid_Talabi","Menchabelam",,
"Gurtsiri",BT,"Monggar","Kengkhar","Olokid_Talabi","Tsalabi",,
"Khodangri",BT,"Monggar","Kengkhar","Olokid_Talabi","Oliki",,
"Sepnari",BT,"Monggar","Kengkhar","Neykorlong_Warongborang","Nakolog",,
"Sepnari",BT,"Monggar","Kengkhar","Neykorlong_Warongborang","Nanaric",,
"Moitangri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Udari",,
"Moitangri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Udari",,
"Khesingri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Kidpari",,
"Perkheri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Pogola",,
"Perkheri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Kidpari",,
"Tshashongri",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Kidpari",,
"Kithpari",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Singsiri",,
"Daglari",BT,"Monggar","Kengkhar","Kyidpari_Yudari","Kidpari",,
"Moitangri",BT,"Monggar","Kengkhar","Tongla_Zi-Tsibi","Tongla",,
"Kumshingmari",BT,"Monggar","Kengkhar","Tongla_Zi-Tsibi","Tonglagoenpa",,
"Dupchu",BT,"Monggar","Kengkhar","Tongla_Zi-Tsibi","Shajula",,
"Kognangri",BT,"Monggar","Kengkhar","Tongla_Zi-Tsibi","Zitsebi",,
"Nerawunburi",BT,"Monggar","Kengkhar","Tongla_Zi-Tsibi","Tongla",,
"Karmacholing",BT,"Monggar","Chhali","Gonpa",,,
"Threnchu",BT,"Monggar","Chhali","Gonpa",,,
"Yangtang",BT,"Monggar","Chhali","Gonpa",,,
"Threnchu",BT,"Monggar","Chhali","Pangthang","pangthang",,
"Kesangma",BT,"Monggar","Chhali","Pangthang","Thampang",,
"Phatikhoi",BT,"Monggar","Chhali","Chulabi","Chulabi",,
"Kesangma",BT,"Monggar","Chhali","Chulabi","Chasar",,
"Broksar",BT,"Monggar","Chhali","Chulabi","Bakhim",,
"Broksar",BT,"Monggar","Chhali","Chulabi",,,
"Chungpabung",BT,"Monggar","Chhali","Chaling",,,
"Namachu",BT,"Monggar","Chhali","Chaling","Kharigup",,
"Namkaling",BT,"Monggar","Chhali","Chaling",,,
"Yoetenkhetshang",BT,"Monggar","Chhali","Chaling","Bana",,
"Patikhoi",BT,"Monggar","Chhali","Wangmakhar","Jambi",,
"Threnchu",BT,"Monggar","Chhali","Wangmakhar",,,
"Bushing Rongma",BT,"Monggar","Chhali","Wangmakhar",,,
"Pelung",BT,"Monggar","Ngatshang","Yadi_Yekhar","Pelung",,
"Yekhar",BT,"Monggar","Ngatshang","Yadi_Yekhar","Yadhi-Yekhar",,
"Bumpazor",BT,"Monggar","Ngatshang","Yadi_Yekhar","Bumpazor",,
"Garpaling",BT,"Monggar","Ngatshang","Yadi_Yekhar","Garpaling",,
"Phanas",BT,"Monggar","Ngatshang","Nyingala_Phanasi","Phanas",,
"Zorgonpa",BT,"Monggar","Ngatshang","Nyingala_Phanasi",,,
"Ningala",BT,"Monggar","Ngatshang","Nyingala_Phanasi","Phanas",,
"Jarshingwang",BT,"Monggar","Ngatshang","Nyingala_Phanasi","Jarshiwang",,
"Jagoegonpa",BT,"Monggar","Ngatshang","Pelshoob","Goenpa",,
"Domlung",BT,"Monggar","Ngatshang","Pelshoob","Domlung",,
"Pelshoop",BT,"Monggar","Ngatshang","Pelshoob","Dekurung",,
"Omkhar",BT,"Monggar","Ngatshang","Pelshoob","Omkhar",,
"Goenpa",BT,"Monggar","Ngatshang","Pelshoob","Goenpa",,
"Sangacholing",BT,"Monggar","Ngatshang","Pelshoob","Pelshoop",,
"Yadi RWSS",BT,"Monggar","Ngatshang","Pelshoob","Pelshoop",,
"Thumbari",BT,"Monggar","Ngatshang","Thoomdari","Thumbari",,
"Zangdari",BT,"Monggar","Ngatshang","Thoomdari","Zangdari",,
"Tagor",BT,"Monggar","Ngatshang","Thoomdari","Tagor",,
"Shingthari",BT,"Monggar","Ngatshang","Ngatshang","Shingtharing",,
"Gochakpu",BT,"Monggar","Ngatshang","Ngatshang","Gochakpu",,
"Kochigang",BT,"Monggar","Ngatshang","Ngatshang","Kochigoenpa",,
"Mentshang",BT,"Monggar","Ngatshang","Ngatshang","Mentsang",,
"Kochigoenpa",BT,"Monggar","Ngatshang","Ngatshang","Kochigoenpa",,
"Brakar Chu, Drobar, Kazomgokha",BT,"Monggar","Saleng","Saling","Saling",,
"Namling",BT,"Monggar","Saleng","Thridangbi",,,
"Broksar, Khajira",BT,"Monggar","Saleng","Drogsar","Drogsar",,
"Gorsumbi",BT,"Monggar","Saleng","Drogsar","Maangling",,
"Jajamari, Jukaphai",BT,"Monggar","Saleng","Kalapang_Risa","Kalapang",,
"Thongjari",BT,"Monggar","Saleng","Kalapang_Risa","Resa",,
"Chubar",BT,"Monggar","Saleng","Tsenzabi_Masangdaza","Jangdung",,
"Bediri, Jugilam",BT,"Monggar","Saleng","Tsenzabi_Masangdaza","Masangdaza",,
"Khomnangbi",BT,"Monggar","Saleng","Tsenzabi_Masangdaza","Pangsibi",,
"Jachu,Tortorla,Mangthandrechu,Nepo Tungkangla",BT,"Monggar","Saleng","Tsenzabi_Masangdaza",,,
"Shongjari",BT,"Monggar","Saleng",,,,
"Jungang",BT,"Monggar","Saleng","Seng-Gor","Seng-Gor",,
"Chompa",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Sourangyoe",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Ri-Toed",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Chorten Singma",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Thogpari",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Larjab",BT,"Monggar","Mongar","Themnangbi_Ketongri",,,
"Roushingyey and Mouza",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Lower Roushing",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Takpanakseyey Lower",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Takpanakseyey Upper",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Chukuri",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Brungshingwog",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Bozongree",BT,"Monggar","Mongar","Gyalpoizhing_Wangling",,,
"Zangrong",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Shingsapha",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Rashulam",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Shugulugsa",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Zarangshi Khatoed",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Zarangshi Khamey",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Hodhonhshi",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Mombangsa",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Ngalongzamo",BT,"Monggar","Mongar","Konbar_Tagchu",,,
"Shingthang Zampa",BT,"Monggar","Mongar","Kidekhar",,,
"Thrigpuri "A,BT,"Monggar","Mongar","Kidekhar",,,
"Khairi",BT,"Monggar","Mongar","Kidekhar",,,
"Thripuri "B,BT,"Monggar","Mongar","Kidekhar",,,
"Kamangyey",BT,"Monggar","Mongar","Kidekhar",,,
"Phai Dhar yey",BT,"Monggar","Mongar","Kidekhar",,,
"Dozam",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Bachenmo",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Remong (Tongseng)",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Remongyakpugang",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Damtshang",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Changyong",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Dorgayshing",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Yengtshang",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Changyong (Jaibab)",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Mantshang",BT,"Monggar","Mongar","Wengkhar_Yagpoogang","Wengkhar",,
"Numshing Ree & Zangzing Mo Jue",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Baytshenang Poktor",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Menchuri",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Soitshong",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Songthurpa & Lower Gupchuwang",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Upper Gupchuwong (jamch)oing",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Upper Gupchuwong (Lupangthang",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Bargonpajug",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Yakpogang",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Dolungjug",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Zargang",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Chochorma Toddh",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Re sharang",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Joupoyongjug",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Shameyig Khamey",BT,"Monggar","Mongar","Phosorong","Phosorong",,
"Shiling",BT,"Monggar","Shermung","Muhung","Shiling",,
"Muhung Gangtok",BT,"Monggar","Shermung","Muhung",,,
"Mensakpa",BT,"Monggar","Shermung","Muhung",,,
"Jabgang",BT,"Monggar","Shermung","Jabgang","Jabgang",,
"Soenakhar Primary school",BT,"Monggar","Shermung","Soenakhar",,,
"Wambur",BT,"Monggar","Shermung","Soenakhar","Wambur",,
"Mangzhing",BT,"Monggar","Shermung","Serzhong","Mangzhing",,
"Serzhong",BT,"Monggar","Shermung","Serzhong","Serzhong",,
"Namchagang",BT,"Monggar","Shermung","Soenakhar","Namchagang",,
"Soenakhar",BT,"Monggar","Shermung","Soenakhar",,,
"Lower Gongdar",BT,"Monggar","Shermung","Serzhong",,,
"Kheshingri",BT,"Monggar","Shermung","Muhung",,,
"Gangmung",BT,"Monggar","Shermung","Gangmung","Gangmung",,
"Thiling Toed",BT,"Monggar","Shermung","Jabgang","Thiling",,
"Thramo",BT,"Monggar","Shermung","Jabgang","Thramo",,
"Pangthang",BT,"Monggar","Shermung","Muhung",,,
"Jangkhar",BT,"Monggar","Shermung","Soenakhar","Jangkhar",,
"Tshaburi",BT,"Monggar","Shermung","Serzhong",,,
"Babdhung",BT,"Monggar","Shermung","Soenakhar",,,
"Reling Jalam",BT,"Monggar","Shermung","Soenakhar","Riling",,
"Riling",BT,"Monggar","Shermung","Soenakhar","Riling",,
"Goenpa",BT,"Monggar","Shermung","Muhung",,,
"Shrimuhung Lower Secondary School",BT,"Monggar","Shermung","Serzhong",,,
"Latibiyubgba/kasungma",BT,"Monggar","Silambi","Nagor","Pang",,
"Lichira",BT,"Monggar","Silambi","Nagor","Laiju",,
"Prangbrangsa",BT,"Monggar","Silambi","Nagor","Laiju",,
"Brogsartog",BT,"Monggar","Silambi","Nagor","Laiju",,
"Kongpolaiyungpa",BT,"Monggar","Silambi","Nagor",,,
"Galingyungba",BT,"Monggar","Silambi","Nagor","Goenpa",,
"Pangbra",BT,"Monggar","Silambi","Gyalgong","Gyelong Toe",,
"Pratang",BT,"Monggar","Silambi","Gyalgong","Gyelong Toe",,
"Gorkangla",BT,"Monggar","Silambi","Dag",,,
"Peshingla",BT,"Monggar","Silambi","Dag","Pishimbi",,
"Phudoma",BT,"Monggar","Silambi","Wama",,,
"KOmthang",BT,"Monggar","Silambi","Wama",,,
"Phogpola",BT,"Monggar","Silambi","Wama",,,
"Namdari",BT,"Monggar","Silambi","Wama",,,
"Thangbrang",BT,"Monggar","Silambi","Wama","Yari Jawla",,
"Brogsar",BT,"Monggar","Silambi","Wama",,,
"Chubar",BT,"Monggar","Silambi","Wama","Changchangma",,
"Dungtongma",BT,"Monggar","Silambi","Silambi","Silambi",,
"Taria",BT,"Monggar","Silambi","Silambi",,,
"Barbibang",BT,"Monggar","Silambi","Silambi","Barbrang",,
"Khalipong",BT,"Monggar","Silambi","Silambi","Salipong",,
"Dungkarbi",BT,"Monggar","Silambi","Silambi","Rukangla",,
"Threma Rongchu",BT,"Haa","Kartshog","Wangtsa","Chhurunggang",,
"Banjar",BT,"Monggar","Tsamang","Banjar","Banjair",,
"Banjar Pam",BT,"Monggar","Tsamang","Banjar","Banjair",,
"Motogchan",BT,"Monggar","Tsamang","Banjar",,,
"Jargoth",BT,"Monggar","Tsamang","Banjar","Jargot",,
"Gomechenbelpo",BT,"Monggar","Tsamang","Banjar","Gomchenbarpo",,
"Nangar",BT,"Monggar","Tsamang","Drangmaling_ Nang-gor","Drangmaling",,
"Dramaling",BT,"Monggar","Tsamang","Drangmaling_ Nang-gor","Drangmaling",,
"Khuling",BT,"Monggar","Tsamang","Ganglapong Maed","Ganglapong Maed",,
"Khuling",BT,"Monggar","Tsamang","Ganglapong Maed","Khuling",,
"Lhakhang",BT,"Monggar","Tsamang","Ganglapong Maed",,,
"Ganalapoong",BT,"Monggar","Tsamang","Ganglapong Toed","Ganglapong Toed",,
"Autshonge",BT,"Monggar","Tsamang","Ganglapong Toed","Ganglapong Toed",,
"Sothruling",BT,"Monggar","Tsamang","Ganglapong Toed","Ganglapong Toed",,
"Ganglapoong",BT,"Monggar","Tsamang","Ganglapong Toed","Ganglapong Toed",,
"Tokari",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Labi",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Tokari/Shokang",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Tabsina",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Toenshing",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Etakpa",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Shojabi",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Goenpa",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Artang",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Pam",BT,"Monggar","Tsamang","Thuenmong_Tokari","Pam",,
"Brepajab",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Serbum Lhakhang",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"School and BHU",BT,"Monggar","Tsamang","Thuenmong_Tokari",,,
"Bochu",BT,"Haa",,,,,
"chachu",BT,"Haa",,,,,
"Mashithang",BT,"Haa",,,,,
