"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Branch","Office Phone","Office","Job Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Mr.","Erculano","Goveia Leite","Volunteer","erculano.goveialeite@gmail.com","+(670) 8652-5335","Timor-Leste Red Cross Society",,,,,"Tidibesse","TL","Ermera","Hatolia","Mau-Ubu",-8.71328,125.34809
"Ms.","Vanessa","Idalina","Volunteer","vanessa.idalina@yahoo.com","+(670) 5501-7613","Timor-Leste Red Cross Society",,,,,"Luli Bau","TL","Baucau","Venilale","Uaiolo",-8.67418,126.434
"Mr.","Eduarda","Nunes","Volunteer","eduarda.nunes@hotmail.com","+(670) 2418-5735","Timor-Leste Red Cross Society",,,,,"Laclo","TL","Manatuto","Laclo","Lacumesac",-8.55544,125.90885
"Ms.","Jessica","Cromos","Volunteer","jessica.cromos@gmail.com","+(670) 5857-1571","Timor-Leste Red Cross Society",,,,,"Meobola","TL","Oecusse","Pante Macasar","Nipani",-9.17833,124.47577
"Mr.","Manuel","Domingas","Volunteer","manuel.domingas@yahoo.com","+(670) 3145-4180","Timor-Leste Red Cross Society",,,,,"Marko","TL","Bobonaro","Cailaco","Meligo",-8.88202,125.20942
"Mr.","Marito","Cune","Volunteer","marito.cune@hotmail.com","+(670) 5992-3198","Timor-Leste Red Cross Society",,,,,"Pahiluha","TL","Ermera","Letefoho","Catrai Leten",-8.88087,125.41768
"Mr.","Martinho","Diamentino","Volunteer","martinho.diamentino@gmail.com","+(670) 8721-7814","Timor-Leste Red Cross Society",,,,,"Fatuhou","TL","Liquiçá","Bazartete","Leorema",-8.68251,125.36819
"Mr.","Leonito","Martins","Volunteer","leonito.martins@yahoo.com","+(670) 6840-5850","Timor-Leste Red Cross Society",,,,,"Nandikole","TL","Bobonaro","Lolotoe","Gildapil",-9.1201,125.2095
"Mr.","Antonio","Gouveia Leite","Volunteer","antonio.gouveialeite@hotmail.com","+(670) 8789-8506","Timor-Leste Red Cross Society",,,,,"Beto Barat","TL","Dili","Dom Aleixo","Comoro",-8.5512,125.52349
"Mr.","Afonso","Salvador","Volunteer","afonso.salvador@gmail.com","+(670) 3953-8523","Timor-Leste Red Cross Society",,,,,"Mauane","TL","Ermera","Railaco","Matata",-8.70239,125.38831
"Ms.","Liliana","Rosmaninho","Volunteer","liliana.rosmaninho@yahoo.com","+(670) 9315-3171","Timor-Leste Red Cross Society",,,,,"Uata Tefo","TL","Baucau","Baguia","Lari Sula",-8.65619,126.73014
"Ms.","Margarida","dos Santos Barros","Volunteer","margarida.dossantosbarros@hotmail.com","+(670) 4770-9647","Timor-Leste Red Cross Society",,,,,"Lisuabe","TL","Bobonaro","Cailaco","Meligo",-8.93034,125.23967
"Mr.","Agusto","Direitinho","Volunteer","agusto.direitinho@gmail.com","+(670) 9324-4885","Timor-Leste Red Cross Society",,,,,"Bunabiqui","TL","Lautém","Iliomar","Fuat",-8.70733,126.83811
"Mr.","Januario","Vicente","Volunteer","januario.vicente@yahoo.com","+(670) 4144-7761","Timor-Leste Red Cross Society",,,,,"Datolia","TL","Bobonaro","Balibo","Leolima",-8.90364,125.05085
"Mr.","Marcus","Salsinha Barreto","Volunteer","marcus.salsinhabarreto@hotmail.com","+(670) 9411-6857","Timor-Leste Red Cross Society",,,,,"Lassorolai","TL","Baucau","Quelicai","Laisorolai de Cima",-8.65756,126.53263
"Mr.","Abel","dos Santos","Volunteer","abel.dossantos@gmail.com","+(670) 8046-7015","Timor-Leste Red Cross Society",,,,,"Nunoti","TL","Baucau","Vemase","Loilubo",-8.5711,126.33683
"Ms.","Diana","Soares","Volunteer","diana.soares@yahoo.com","+(670) 3740-5256","Timor-Leste Red Cross Society",,,,,"Weono","TL","Bobonaro","Balibo","Cowa",-9.02704,124.95232
"Mr.","Goku","Xavier","Volunteer","goku.xavier@hotmail.com","+(670) 4428-4571","Timor-Leste Red Cross Society",,,,,"Alaua","TL","Baucau","Baguia","Alaua Leten",-8.62812,126.65557
"Mr.","Alegria","Matos","Volunteer","alegria.matos@gmail.com","+(670) 4933-5174","Timor-Leste Red Cross Society",,,,,"Ohobin","TL","Bobonaro","Bobonaro","Lourba",-9.0191,125.36539
"Ms.","Manuela","Hildeberto","Volunteer","manuela.hildeberto@yahoo.com","+(670) 7414-2196","Timor-Leste Red Cross Society",,,,,"Benoko","TL","Oecusse","Pante Macasar","Lalisuc",-9.25498,124.34691
"Mr.","Dinis","Fernandes Baptista","Volunteer","dinis.fernandesbaptista@hotmail.com","+(670) 1776-4380","Timor-Leste Red Cross Society",,,,,"Larmera","TL","Manatuto","Laclubar","Fatumaquerec",-8.72346,125.97739
"Mr.","Guido","Guterres","Volunteer","guido.guterres@gmail.com","+(670) 3896-6387","Timor-Leste Red Cross Society",,,,,"Urupadan","TL","Aileu","Liquidoe","Acubilitoho",-8.71235,125.66867
"Mr.","Miguel","Tilman","Volunteer","miguel.tilman@yahoo.com","+(670) 3500-5827","Timor-Leste Red Cross Society",,,,,"Afaloicai","TL","Baucau","Baguia","Afaloicai",-8.65833,126.61111
"Mr.","Carlito","Fatima Rebelo","Volunteer","carlito.fatimarebelo@hotmail.com","+(670) 6799-5820","Timor-Leste Red Cross Society",,,,,"Com","TL","Lautém","Lautém","Com",-8.35603,127.05642
"Mr.","Joao","Peneda","Volunteer","joao.peneda@gmail.com","+(670) 5699-6915","Timor-Leste Red Cross Society",,,,,"Acubira","TL","Bobonaro","Cailaco","Manapa",-8.96788,125.23007
"Mr.","Paulo","Barreto","Volunteer","paulo.barreto@yahoo.com","+(670) 1145-2313","Timor-Leste Red Cross Society",,,,,"Dualanok","TL","Bobonaro","Balibo","Leolima",-8.91302,125.09091
"Mr.","Josefa","Saboga","Volunteer","josefa.saboga@hotmail.com","+(670) 7085-8690","Timor-Leste Red Cross Society",,,,,"Uaineque","TL","Baucau","Baucau","Bahu",-8.46081,126.4308
"Mr.","Lauriano","Lafu","Volunteer","lauriano.lafu@gmail.com","+(670) 6343-2661","Timor-Leste Red Cross Society",,,,,"Tequino Mata","TL","Baucau","Laga","Tequino Mata",-8.47796,126.58655
"Ms.","Joana","Bruno","Volunteer","joana.bruno@yahoo.com","+(670) 7232-1815","Timor-Leste Red Cross Society",,,,,"Risso","TL","Manufahi","Turiscai","Caimauc",-8.82053,125.70317
"Mr.","Alcino","Maria","Volunteer","alcino.maria@hotmail.com","+(670) 7085-3742","Timor-Leste Red Cross Society",,,,,"Pisulara","TL","Bobonaro","Cailaco","Meligo",-8.91423,125.2219
"Mr.","Nuno","Dias Gomes","Volunteer","nuno.diasgomes@gmail.com","+(670) 8362-5846","Timor-Leste Red Cross Society",,,,,"Manusae","TL","Ermera","Letefoho","Ducurai",-8.82746,125.4564
"Mr.","Paul","Baptista","Volunteer","paul.baptista@yahoo.com","+(670) 2390-7622","Timor-Leste Red Cross Society",,,,,"Kapuas","TL","Viqueque","Uatucarbau","Uani Uma",-8.75913,126.65734
"Ms.","Alexandra","de Deus","Volunteer","alexandra.dedeus@hotmail.com","+(670) 5165-6500","Timor-Leste Red Cross Society",,,,,"Uaitoque","TL","Baucau","Venilale","Baha Mori",-8.60632,126.41282
"Ms.","Sirilia","Adevinha","Volunteer","sirilia.adevinha@gmail.com","+(670) 2845-2972","Timor-Leste Red Cross Society",,,,,"Merigi","TL","Ermera","Letefoho","Catrai Leten",-8.87526,125.41266
"Mr.","Nilton","Urbana","Volunteer","nilton.urbana@yahoo.com","+(670) 6999-8617","Timor-Leste Red Cross Society",,,,,"Galaimata","TL","Ermera","Atsabe","Leimea Leten",-8.8882,125.38398
"Ms.","Joaquim","Arriaga","Volunteer","joaquim.arriaga@hotmail.com","+(670) 7567-4793","Timor-Leste Red Cross Society",,,,,"Narlolo","TL","Ermera","Hatolia","Hatolia",-8.81961,125.35198
"Mr.","Felix","Hendrigue Pinto","Volunteer","felix.hendriguepinto@gmail.com","+(670) 5934-2711","Timor-Leste Red Cross Society",,,,,"Nuren","TL","Bobonaro","Balibo","Leohito",-9.01973,125.06044
"Mr.","Severina","Polido","Volunteer","severina.polido@yahoo.com","+(670) 6298-8402","Timor-Leste Red Cross Society",,,,,"Berluli","TL","Ermera","Ermera","Poetete",-8.73453,125.41031
"Mr.","Alvaro","Licinia","Volunteer","alvaro.licinia@hotmail.com","+(670) 4015-6948","Timor-Leste Red Cross Society",,,,,"Lauten","TL","Lautém","Lautém","Pairara",-8.36161,126.90577
"Mr.","Eugenio","Antonio Belo","Volunteer","eugenio.antoniobelo@gmail.com","+(670) 1654-9281","Timor-Leste Red Cross Society",,,,,"Klohor","TL","Covalima","Fohorem","Lactos",-9.25862,125.09403
"Mr.","Marcos","Vidigal dos Santos","Volunteer","marcos.vidigaldossantos@yahoo.com","+(670) 4429-3728","Timor-Leste Red Cross Society",,,,,"Vila Verde","TL","Dili","Vera Cruz","Vila Verde",-8.5579,125.56633
"Mr.","Basilio","Clara","Volunteer","basilio.clara@hotmail.com","+(670) 7366-6551","Timor-Leste Red Cross Society",,,,,"Fatobalon","TL","Manatuto","Barique/Natarbora","Manehat",-8.91371,125.97151
"Ms.","Rosa","Pedro Pinto","Volunteer","rosa.pedropinto@gmail.com","+(670) 9092-7898","Timor-Leste Red Cross Society",,,,,"Oalgomo","TL","Bobonaro","Bobonaro","Ai-Assa",-9.0625,125.33472
"Mr.","Estanislao","da Costa Belo","Volunteer","estanislao.dacostabelo@yahoo.com","+(670) 2756-9222","Timor-Leste Red Cross Society",,,,,"Uaiharabo'o","TL","Baucau","Vemase","Uatu-Lari",-8.56806,126.33521
"Ms.","Florinda","de Deus Gomes","Volunteer","florinda.dedeusgomes@hotmail.com","+(670) 9520-6462","Timor-Leste Red Cross Society",,,,,"Oges","TL","Covalima","Maucatar","Ogues",-9.26491,125.21452
"Ms.","Juliana","Helena","Volunteer","juliana.helena@gmail.com","+(670) 6896-7367","Timor-Leste Red Cross Society",,,,,"Rehatu","TL","Manatuto","Laclo","Hohorai",-8.58971,125.80375
"Ms.","Rita","Nunes","Volunteer","rita.nunes@yahoo.com","+(670) 8214-1261","Timor-Leste Red Cross Society",,,,,"Delubo","TL","Manufahi","Turiscai","Beremana",-8.85838,125.71757
"Mr.","Juvenal","Cardoso","Volunteer","juvenal.cardoso@hotmail.com","+(670) 9851-8650","Timor-Leste Red Cross Society",,,,,"Taolen","TL","Oecusse","Pante Macasar","Costa",-9.27681,124.40032
"Mr.","Jaime","Caldeira","Volunteer","jaime.caldeira@gmail.com","+(670) 3636-8213","Timor-Leste Red Cross Society",,,,,"Laiuru","TL","Manufahi","Same","Babulu",-9.02525,125.6535
"Mr.","Cesar","Uva","Volunteer","cesar.uva@yahoo.com","+(670) 2709-6460","Timor-Leste Red Cross Society",,,,,"Caraubalo","TL","Viqueque","Viqueque","Caraubalo",-8.85898,126.36353
"Mr.","Filomeno","Boavida","Volunteer","filomeno.boavida@hotmail.com","+(670) 6566-8990","Timor-Leste Red Cross Society",,,,,"Nuslao","TL","Oecusse","Pante Macasar","Bobocase",-9.27639,124.3625
"Mr.","George","Godinho","Volunteer","george.godinho@gmail.com","+(670) 2272-2940","Timor-Leste Red Cross Society",,,,,"Lurato","TL","Lautém","Iliomar","Cainliu",-8.66961,126.83194
"Mr.","Eli","Adevinha","Volunteer","eli.adevinha@yahoo.com","+(670) 1583-1033","Timor-Leste Red Cross Society",,,,,"Vila","TL","Dili","Atauro","Atauro Vila/Maumeta",-8.26368,125.60152
"Mr.","Sebastiao","Cabecinhas","Volunteer","sebastiao.cabecinhas@hotmail.com","+(670) 7541-5617","Timor-Leste Red Cross Society",,,,,"Fatuhou","TL","Liquiçá","Bazartete","Leorema",-8.68251,125.36819
"Mr.","Paulino","Elo","Volunteer","paulino.elo@gmail.com","+(670) 3800-1202","Timor-Leste Red Cross Society",,,,,"Carlilo","TL","Manatuto","Manatuto","Aiteas",-8.53368,126.00626
"Mr.","Guilherme","Pinto Soares","Volunteer","guilherme.pintosoares@yahoo.com","+(670) 9666-9580","Timor-Leste Red Cross Society",,,,,"Loribia","TL","Bobonaro","Maliana","Ritabou",-8.99015,125.28369
"Mr.","Heitor","Ximenes","Volunteer","heitor.ximenes@hotmail.com","+(670) 1444-5228","Timor-Leste Red Cross Society",,,,,"Oeto","TL","Manufahi","Alas","Dotic",-9.06026,125.93374
"Mr.","Sandra","Baros","Volunteer","sandra.baros@gmail.com","+(670) 1410-9750","Timor-Leste Red Cross Society",,,,,"Sabomata","TL","Manatuto","Laclo","Hohorai",-8.62912,125.78085
"Mr.","Apolinario","Palat","Volunteer","apolinario.palat@yahoo.com","+(670) 7908-3901","Timor-Leste Red Cross Society",,,,,"Manoroni","TL","Dili","Cristo Rei","Hera",-8.53889,125.68056
"Mr.","Kevin","Hugo","Volunteer","kevin.hugo@hotmail.com","+(670) 4237-6867","Timor-Leste Red Cross Society",,,,,"Gugulai","TL","Baucau","Quelicai","Guruca",-8.57917,126.6
"Mr.","Emidia","Magno Freitas","Volunteer","emidia.magnofreitas@gmail.com","+(670) 9852-7910","Timor-Leste Red Cross Society",,,,,"Nunudamar","TL","Aileu","Remexio","Tulataqueo",-8.61575,125.70937
"Mr.","Ruben","Duarte","Volunteer","ruben.duarte@yahoo.com","+(670) 7164-3116","Timor-Leste Red Cross Society",,,,,"Batas","TL","Manufahi","Same","Tutuluro",-8.93785,125.70554
"Mr.","Fernanda","Rente","Volunteer","fernanda.rente@hotmail.com","+(670) 2058-4852","Timor-Leste Red Cross Society",,,,,"Kaitara","TL","Ainaro","Maubisse","Fatu-Besi",-8.81253,125.61814
"Mr.","Moises","Bosco  Soares","Volunteer","moises.boscosoares@gmail.com","+(670) 8794-1533","Timor-Leste Red Cross Society",,,,,"Nubani","TL","Oecusse","Pante Macasar","Naimeco",-9.31427,124.40289
"Mr.","Luis","Moniz","Volunteer","luis.moniz@yahoo.com","+(670) 3743-7334","Timor-Leste Red Cross Society",,,,,"Oerbora","TL","Covalima","Zumalai","Raimea",-9.18803,125.50193
"Ms.","Mónica","de Jesus Alves","Volunteer","monica.dejesusalves@hotmail.com","+(670) 3171-2537","Timor-Leste Red Cross Society",,,,,"Loinuno","TL","Baucau","Vemase","Ossoala",-8.58454,126.33732
"Mr.","Cornelio","Pascoela","Volunteer","cornelio.pascoela@gmail.com","+(670) 2939-7646","Timor-Leste Red Cross Society",,,,,"Tatalalarin","TL","Lautém","Iliomar","Cainliu",-8.69137,126.81563
"Mr.","Catarina","M. Pereira","Volunteer","catarina.m.pereira@yahoo.com","+(670) 6585-9160","Timor-Leste Red Cross Society",,,,,"Oebola","TL","Bobonaro","Atabae","Atabae",-8.76443,125.19451
"Mr.","Celestino","Liub","Volunteer","celestino.liub@hotmail.com","+(670) 7583-6803","Timor-Leste Red Cross Society",,,,,"Mota Ulun","TL","Dili","Cristo Rei","Becora",-8.57308,125.6142
"Ms.","Meliana","da Silva","Volunteer","meliana.dasilva@gmail.com","+(670) 9950-8331","Timor-Leste Red Cross Society",,,,,"Vazetida Algar","TL","Liquiçá","Liquiçá","Leoteala",-8.66528,125.3316
"Mr.","Bonifacio","Pala","Volunteer","bonifacio.pala@yahoo.com","+(670) 3376-7245","Timor-Leste Red Cross Society",,,,,"Loribia","TL","Bobonaro","Maliana","Ritabou",-8.99015,125.28369
"Ms.","Sofia","Rilo","Volunteer","sofia.rilo@hotmail.com","+(670) 5652-6396","Timor-Leste Red Cross Society",,,,,"Pante Macasar","TL","Oecusse","Pante Macasar","Costa",-9.20282,124.36839
"Mr.","Julio","Rogerio","Volunteer","julio.rogerio@gmail.com","+(670) 9758-4842","Timor-Leste Red Cross Society",,,,,"Usafin","TL","Oecusse","Passabe","Abani",-9.46013,124.34585
"Ms.","Mafalda","Bercamns","Volunteer","mafalda.bercamns@yahoo.com","+(670) 7155-2783","Timor-Leste Red Cross Society",,,,,"Lukulaulau","TL","Ermera","Hatolia","Ailelo",-8.81806,125.30833
"Mr.","Herculano","da Costa Mariz","Volunteer","herculano.dacostamariz@hotmail.com","+(670) 5328-9240","Timor-Leste Red Cross Society",,,,,"Lari Sula","TL","Baucau","Baguia","Lari Sula",-8.65408,126.72809
"Ms.","Joaninha","Marques","Volunteer","joaninha.marques@gmail.com","+(670) 7862-5248","Timor-Leste Red Cross Society",,,,,"Saben","TL","Oecusse","Oesilo","Bobometo",-9.35407,124.37324
"Mr.","Marcos","de Almeida","Volunteer","marcos.dealmeida@yahoo.com","+(670) 4686-9019","Timor-Leste Red Cross Society",,,,,"Peumate","TL","Bobonaro","Atabae","Atabae",-8.83056,125.20278
"Mr.","Edi","F. Branco","Volunteer","edi.f.branco@hotmail.com","+(670) 6968-3864","Timor-Leste Red Cross Society",,,,,"Boboe","TL","Ermera","Ermera","Lauala",-8.75145,125.45377
"Mr.","Custodio","Xareal","Volunteer","custodio.xareal@gmail.com","+(670) 1358-9999","Timor-Leste Red Cross Society",,,,,"Fahilebu","TL","Manufahi","Turiscai","Beremana",-8.84815,125.72029
"Ms.","Carlota","Jaelani","Volunteer","carlota.jaelani@yahoo.com","+(670) 5500-2661","Timor-Leste Red Cross Society",,,,,"Sucatin","TL","Manatuto","Laclo","Lacumesac",-8.56464,125.89948
"Mr.","Adelino","da Costa","Volunteer","adelino.dacosta@hotmail.com","+(670) 5101-5421","Timor-Leste Red Cross Society",,,,,"Harare","TL","Bobonaro","Bobonaro","Malilait",-9.01092,125.32933
"Mr.","Joel","Brites","Volunteer","joel.brites@gmail.com","+(670) 9720-6680","Timor-Leste Red Cross Society",,,,,"Leguiloiuatu","TL","Baucau","Baucau","Triloca",-8.51089,126.3622
"Mr.","Agostinho","Solposto","Volunteer","agostinho.solposto@yahoo.com","+(670) 6670-4161","Timor-Leste Red Cross Society",,,,,"Aliatu","TL","Ermera","Atsabe","Paramin",-8.92701,125.40612
"Mr.","Lucas","Pinto","Volunteer","lucas.pinto@hotmail.com","+(670) 2186-8069","Timor-Leste Red Cross Society",,,,,"Berukulun","TL","Dili","Cristo Rei","Hera",-8.54722,125.67083
"Ms.","Daniela","de Jesus","Volunteer","daniela.dejesus@gmail.com","+(670) 6882-1080","Timor-Leste Red Cross Society",,,,,"Olekata","TL","Ermera","Atsabe","Leimea Leten",-8.89133,125.40147
"Ms.","Xanana","Goncalves","Volunteer","xanana.goncalves@yahoo.com","+(670) 1277-7301","Timor-Leste Red Cross Society",,,,,"Tatadere","TL","Viqueque","Uatucarbau","Afaloicai",-8.65512,126.65694
"Mr.","Dominikus","Barros dos Reis","Volunteer","dominikus.barrosdosreis@hotmail.com","+(670) 6802-6606","Timor-Leste Red Cross Society",,,,,"Fuiloro","TL","Lautém","Lospalos","Fuiloro",-8.50844,126.98987
"Ms.","Emilio","da Costa Oliveira","Volunteer","emilio.dacostaoliveira@gmail.com","+(670) 4434-9230","Timor-Leste Red Cross Society",,,,,"Lepulau","TL","Ainaro","Hatu-Builico","Nuno-Mogue",-8.94081,125.54089
"Mr.","Venancio","Amaral","Volunteer","venancio.amaral@yahoo.com","+(670) 1788-7540","Timor-Leste Red Cross Society",,,,,"Tepa","TL","Bobonaro","Lolotoe","Deudet",-9.13736,125.28589
"Mr.","Duarte","Zacarias","Volunteer","duarte.zacarias@hotmail.com","+(670) 2946-9589","Timor-Leste Red Cross Society",,,,,"Futuisin","TL","Covalima","Suai","Camenasa",-9.32178,125.2826
"Mr.","Lino","Albuquequer","Volunteer","lino.albuquequer@gmail.com","+(670) 7513-7984","Timor-Leste Red Cross Society",,,,,"Ailora","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.11379,125.64147
"Mr.","José","Otilia","Volunteer","jose.otilia@yahoo.com","+(670) 2354-2169","Timor-Leste Red Cross Society",,,,,"Vataomar","TL","Lautém","Iliomar","Fuat",-8.687,126.86009
"Mr.","Cipriano","Polainos","Volunteer","cipriano.polainos@hotmail.com","+(670) 6353-1291","Timor-Leste Red Cross Society",,,,,"Lisaico","TL","Liquiçá","Maubara","Lissadila",-8.66391,125.255
"Mr.","Quito","Macedo","Volunteer","quito.macedo@gmail.com","+(670) 9195-7369","Timor-Leste Red Cross Society",,,,,"Leber","TL","Bobonaro","Bobonaro","Leber",-9.075,125.25417
"Mr.","Hermengildo","Moises","Volunteer","hermengildo.moises@yahoo.com","+(670) 1220-7366","Timor-Leste Red Cross Society",,,,,"Palistela","TL","Liquiçá","Maubara","Gugleur",-8.65945,125.14304
"Mr.","Johanes","Horta","Volunteer","johanes.horta@hotmail.com","+(670) 1818-7033","Timor-Leste Red Cross Society",,,,,"Hahitali","TL","Ainaro","Maubisse","Manetu",-8.86265,125.65966
"Mr.","Clementino","Gohan","Volunteer","clementino.gohan@gmail.com","+(670) 5459-2349","Timor-Leste Red Cross Society",,,,,"Lookeu","TL","Covalima","Suai","Debos",-9.32318,125.24553
"Mr.","Noti","Ramos","Volunteer","noti.ramos@yahoo.com","+(670) 1805-1133","Timor-Leste Red Cross Society",,,,,"Pala","TL","Dili","Atauro","Biceli",-8.18391,125.62902
"Mr.","Edilirio","de Carvalho","Volunteer","edilirio.decarvalho@hotmail.com","+(670) 8584-6843","Timor-Leste Red Cross Society",,,,,"Vazetida Algar","TL","Liquiçá","Liquiçá","Leoteala",-8.66528,125.3316
"Mr.","Angelino","Fahik Batak","Volunteer","angelino.fahikbatak@gmail.com","+(670) 2725-1373","Timor-Leste Red Cross Society",,,,,"Renumata","TL","Ermera","Letefoho","Ducurai",-8.84105,125.45708
"Mr.","Lourenco","Maia","Volunteer","lourenco.maia@yahoo.com","+(670) 7843-6553","Timor-Leste Red Cross Society",,,,,"Fatuhada","TL","Dili","Dom Aleixo","Fatuhada",-8.55309,125.55593
"Mr.","Mario","Moio","Volunteer","mario.moio@hotmail.com","+(670) 3473-4941","Timor-Leste Red Cross Society",,,,,"Aitemua","TL","Ermera","Hatolia","Fatubolu",-8.75116,125.3582
"Mr.","Donato","Sereno","Volunteer","donato.sereno@gmail.com","+(670) 3126-9579","Timor-Leste Red Cross Society",,,,,"Ausur","TL","Ainaro","Hatu-udo","Leolima",-9.12902,125.57946
"Ms.","Joana","Gorette","Volunteer","joana.gorette@yahoo.com","+(670) 2128-3750","Timor-Leste Red Cross Society",,,,,"Dirihatilau","TL","Ermera","Hatolia","Asulau",-8.7463,125.24412
"Mr.","Francisco","Alex","Volunteer","francisco.alex@hotmail.com","+(670) 7079-4898","Timor-Leste Red Cross Society",,,,,"Ukbatan","TL","Oecusse","Oesilo","Bobometo",-9.39636,124.35915
"Mr.","Sergio","Rodriques","Volunteer","sergio.rodriques@gmail.com","+(670) 2666-3636","Timor-Leste Red Cross Society",,,,,"Nubadak","TL","Bobonaro","Balibo","Batugade",-8.94204,124.97816
"Ms.","Ercia","da Cunha","Volunteer","ercia.dacunha@yahoo.com","+(670) 9413-8285","Timor-Leste Red Cross Society",,,,,"Uebicas","TL","Manufahi","Fatuberliu","Clacuc",-9.01543,126.00625
"Ms.","Telma","Mondego","Volunteer","telma.mondego@hotmail.com","+(670) 3098-1843","Timor-Leste Red Cross Society",,,,,"Kaitcho","TL","Liquiçá","Bazartete","Motaulun",-8.56702,125.42626
"Mr.","Durcelina","Paulo","Volunteer","durcelina.paulo@gmail.com","+(670) 4048-2802","Timor-Leste Red Cross Society",,,,,"Soslodade","TL","Dili","Vera Cruz","Colmera",-8.55512,125.57259
"Mr.","Tomas","Rafael","Volunteer","tomas.rafael@yahoo.com","+(670) 6283-1557","Timor-Leste Red Cross Society",,,,,"Uaitalobu","TL","Baucau","Venilale","Uataco",-8.62891,126.38244
"Mr.","Vidiana","Gomes","Volunteer","vidiana.gomes@hotmail.com","+(670) 7517-6510","Timor-Leste Red Cross Society",,,,,"Bebunuk","TL","Dili","Dom Aleixo","Comoro",-8.54389,125.54306
"Ms.","Abril","da Vidigal","Volunteer","abril.davidigal@gmail.com","+(670) 3635-5922","Timor-Leste Red Cross Society",,,,,"Kiukle","TL","Oecusse","Oesilo","Bobometo",-9.31565,124.36902
"Mr.","Augusto","Jose da C.","Volunteer","augusto.josedac@yahoo.com","+(670) 2407-4875","Timor-Leste Red Cross Society",,,,,"Festou","TL","Baucau","Baucau","Seical",-8.53889,126.51667
"Ms.","Graciano","Martins","Volunteer","graciano.martins@hotmail.com","+(670) 8255-5456","Timor-Leste Red Cross Society",,,,,"Uaito Bonu","TL","Baucau","Venilale","Fatulia",-8.65311,126.36997
"Mr.","Domingos","dos Santos","Volunteer","domingos.dossantos@gmail.com","+(670) 8093-6945","Timor-Leste Red Cross Society",,,,,"Kampung Baru","TL","Manatuto","Laleia","Lifau",-8.50423,126.15691
"Mr.","Abelito","Alves","Volunteer","abelito.alves@yahoo.com","+(670) 9519-2480","Timor-Leste Red Cross Society",,,,,"Uatubela Oli","TL","Baucau","Venilale","Bado Ho'o",-8.60402,126.39672
"Mr.","Agapito","Saboga","Volunteer","agapito.saboga@hotmail.com","+(670) 8175-1209","Timor-Leste Red Cross Society",,,,,"Uatu Manuruku","TL","Viqueque","Ossu","Uaguia",-8.75683,126.41313
"Mr.","Acacio","Batuca","Volunteer","acacio.batuca@gmail.com","+(670) 4980-7200","Timor-Leste Red Cross Society",,,,,"Defadae","TL","Baucau","Quelicai","Macalaco",-8.58333,126.52222
"Mr.","Natalino","Noel Sila","Volunteer","natalino.noelsila@yahoo.com","+(670) 8096-5078","Timor-Leste Red Cross Society",,,,,"Malepun","TL","Bobonaro","Atabae","Aidabaleten",-8.85169,125.08665
"Ms.","Isabel","Ximenes","Volunteer","isabel.ximenes@hotmail.com","+(670) 2482-1535","Timor-Leste Red Cross Society",,,,,"Samalalo","TL","Baucau","Laga","Saelari",-8.48994,126.68592
"Ms.","Beatriz","Quefi","Volunteer","beatriz.quefi@gmail.com","+(670) 2027-8591","Timor-Leste Red Cross Society",,,,,"Lotan","TL","Bobonaro","Balibo","Batugade",-8.98042,125.00335
"Mr.","Marcelino","Mali Mau","Volunteer","marcelino.malimau@yahoo.com","+(670) 9233-6862","Timor-Leste Red Cross Society",,,,,"Sardoli","TL","Bobonaro","Bobonaro","Lourba",-9.00882,125.3602
"Mr.","Marcelo","Zolo","Volunteer","marcelo.zolo@hotmail.com","+(670) 8629-8026","Timor-Leste Red Cross Society",,,,,"Kaitcho","TL","Liquiçá","Bazartete","Motaulun",-8.56702,125.42626
"Mr.","Justiano","Gusmão","Volunteer","justiano.gusmao@gmail.com","+(670) 3859-6042","Timor-Leste Red Cross Society",,,,,"Raihun","TL","Bobonaro","Balibo","Balibo vila",-8.9774,125.05161
"Ms.","Soraia","de Araujo","Volunteer","soraia.dearaujo@yahoo.com","+(670) 5686-9973","Timor-Leste Red Cross Society",,,,,"Maina I","TL","Lautém","Lautém","Maina I",-8.39624,126.90853
"Mr.","Lucio","Aparicio","Volunteer","lucio.aparicio@hotmail.com","+(670) 5390-3595","Timor-Leste Red Cross Society",,,,,"Lio","TL","Aileu","Aileu Vila","Seloi Craic",-8.7129,125.52074
"Ms.","Clàudia","Botelheiro","Volunteer","claudia.botelheiro@gmail.com","+(670) 2882-6332","Timor-Leste Red Cross Society",,,,,"Kiukle","TL","Oecusse","Oesilo","Bobometo",-9.31565,124.36902
"Ms.","Adriana","Belo","Volunteer","adriana.belo@yahoo.com","+(670) 5225-3096","Timor-Leste Red Cross Society",,,,,"Ranac","TL","Manatuto","Barique/Natarbora","Abat Oan",-8.97295,126.06049
"Ms.","Elly","Goveia Leite","Volunteer","elly.goveialeite@hotmail.com","+(670) 5950-8823","Timor-Leste Red Cross Society",,,,,"Leuro","TL","Lautém","Lospalos","Souro",-8.52222,126.95139
