"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Acronym","Office Phone","Office","Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Mr.","Marcelo","Otilia","Volunteer","marcelo.otilia@yahoo.com","+(670) 9806-2247","Timor-Leste Red Cross Society","CVTL",,,,"Codo","TL","Lautem","Lautem","Maina II",-8.46687,126.8817
"Mr.","Mónica ","Soares","Volunteer","monica.soares@yahoo.com","+(670) 2850-8401","Timor-Leste Red Cross Society","CVTL",,,,"Umaiuk","TL","Manatuto","Laleia","Haturalan",-8.54143,126.16211
"Ms.","Vanessa","Mondego","Volunteer","vanessa.mondego@yahoo.com","+(670) 7908-9619","Timor-Leste Red Cross Society","CVTL",,,,"Iun","TL","Manatuto","Manatuto","Iliheu",-8.54369,125.94308
"Ms.","Fernando","Goncalves","Volunteer","fernando.goncalves@hotmail.com","+(670) 1684-8542","Timor-Leste Red Cross Society","CVTL",,,,"Iun","TL","Manatuto","Manatuto","Iliheu",-8.54369,125.94308
"Mr.","Marcos","Jose","Volunteer","marcos.jose@gmail.com","+(670) 8507-4421","Timor-Leste Red Cross Society","CVTL",,,,"Fatubesi","TL","Manufahi","Fatuberliu","Clacuc",-9.02896,125.99788
"Mr.","Eugenio","de Jesus","Volunteer","eugenio.dejesus@hotmail.com","+(670) 5950-7761","Timor-Leste Red Cross Society","CVTL",,,,"Maliubu","TL","Bobonaro","Bobonaro","Male-Ubu",-9.00121,125.3854
"Mr.","Januario","Ximenes","Volunteer","januario.ximenes@yahoo.com","+(670) 5168-2614","Timor-Leste Red Cross Society","CVTL",,,,"Haareme","TL","Bobonaro","Cailaco","Raiheu",-8.96935,125.29315
"Mr.","Jose","Hendrigue Pinto","Volunteer","jose.hendriguepinto@yahoo.com","+(670) 6883-6456","Timor-Leste Red Cross Society","CVTL",,,,"Korlule","TL","Bobonaro","Maliana","Ritabou",-8.93172,125.17764
"Ms.","Meliana","Cardoso","Volunteer","meliana.cardoso@hotmail.com","+(670) 3930-8799","Timor-Leste Red Cross Society","CVTL",,,,"Leododok","TL","Manatuto","Laclo","Lacumesac",-8.55301,125.90492
"Ms.","Mariano","da Costa Belo","Volunteer","mariano.dacostabelo@yahoo.com","+(670) 9511-7383","Timor-Leste Red Cross Society","CVTL",,,,"Lekitei","TL","Ainaro","Maubisse","Maubisse",-8.85037,125.59092
"Ms.","Marcus","Quefi","Volunteer","marcus.quefi@yahoo.com","+(670) 1140-9149","Timor-Leste Red Cross Society","CVTL",,,,"Waidua","TL","Baucau","Baucau","Samalari",-8.52827,126.4811
"Ms.","Lino","Palat","Volunteer","lino.palat@yahoo.com","+(670) 6738-2829","Timor-Leste Red Cross Society","CVTL",,,,"Tuturema","TL","Bobonaro","Cailaco","Atudara",-8.94878,125.28505
"Mr.","Abel","Mali Mau","Volunteer","abel.malimau@yahoo.com","+(670) 2671-6826","Timor-Leste Red Cross Society","CVTL",,,,"Nauleau","TL","Manatuto","Laclubar","Orlalan",-8.75417,125.957
"Ms.","Noti","de Jesus Alves","Volunteer","noti.dejesusalves@gmail.com","+(670) 3629-9130","Timor-Leste Red Cross Society","CVTL",,,,"Boramba","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.11302,125.64772
"Mr.","Emidia","Licinia","Volunteer","emidia.licinia@yahoo.com","+(670) 6828-1734","Timor-Leste Red Cross Society","CVTL",,,,"Kalae","TL","Aileu","Laulara","Talitu",-8.61316,125.60576
"Mr.","Jaime","da Silva","Volunteer","jaime.dasilva@hotmail.com","+(670) 1436-9823","Timor-Leste Red Cross Society","CVTL",,,,"Galitas","TL","Covalima","Zumalai","Tashilin",-9.19728,125.42116
"Ms.","Lourenco","Liub","Volunteer","lourenco.liub@gmail.com","+(670) 6557-9877","Timor-Leste Red Cross Society","CVTL",,,,"Tukeu","TL","Aileu","Remexio","Maumeta",-8.67053,125.6552
"Ms.","Soraia","Macedo","Volunteer","soraia.macedo@hotmail.com","+(670) 7120-2255","Timor-Leste Red Cross Society","CVTL",,,,"Masilihu","TL","Dili","Atauro","Maquili",-8.29041,125.58532
"Ms.","Carlota","Chilro","Volunteer","carlota.chilro@yahoo.com","+(670) 7651-5404","Timor-Leste Red Cross Society","CVTL",,,,"Sabaama","TL","Covalima","Fatumean","Belulic Leten",-9.24583,125.02083
"Mr.","Jaime","de Fatima ","Volunteer","jaime.defatima@hotmail.com","+(670) 8652-5335","Timor-Leste Red Cross Society","CVTL",,,,"Tidibesse","TL","Ermera","Hatolia","Mau-Ubu",-8.71328,125.34809
"Mr.","Dinis","Gomes","Volunteer","dinis.gomes@yahoo.com","+(670) 5501-7613","Timor-Leste Red Cross Society","CVTL",,,,"Luli Bau","TL","Baucau","Venilale","Uaiolo",-8.67418,126.434
"Ms.","Abril","da Costa","Volunteer","abril.dacosta@hotmail.com","+(670) 2418-5735","Timor-Leste Red Cross Society","CVTL",,,,"Laclo","TL","Manatuto","Laclo","Lacumesac",-8.55544,125.90885
"Mr.","Noti","de Jesus Alves","Volunteer","noti.dejesusalves@yahoo.com","+(670) 5857-1571","Timor-Leste Red Cross Society","CVTL",,,,"Meobola","TL","Oecusse","Pante Macasar","Nipani",-9.17833,124.47577
"Mr.","Paulo","Polainos","Volunteer","paulo.polainos@gmail.com","+(670) 3145-4180","Timor-Leste Red Cross Society","CVTL",,,,"Marko","TL","Bobonaro","Cailaco","Meligo",-8.88202,125.20942
"Mr.","Telma","Otilia","Volunteer","telma.otilia@yahoo.com","+(670) 5992-3198","Timor-Leste Red Cross Society","CVTL",,,,"Pahiluha","TL","Ermera","Letefoho","Catrai Leten",-8.88087,125.41768
"Mr.","Abril","da Costa","Volunteer","abril.dacosta@hotmail.com","+(670) 8721-7814","Timor-Leste Red Cross Society","CVTL",,,,"Fatuhou","TL","Liquiçá","Bazartete","Leorema",-8.68251,125.36819
"Mr.","Abel","Mali Mau","Volunteer","abel.malimau@hotmail.com","+(670) 6840-5850","Timor-Leste Red Cross Society","CVTL",,,,"Nandikole","TL","Bobonaro","Lolotoe","Gildapil",-9.1201,125.2095
"Mr.","Antonio","de Oliveira","Volunteer","antonio.deoliveira@gmail.com","+(670) 8789-8506","Timor-Leste Red Cross Society","CVTL",,,,"Beto Barat","TL","Dili","Dom Aleixo","Comoro",-8.5512,125.52349
"Mr.","Marcos","Jose","Volunteer","marcos.jose@yahoo.com","+(670) 3953-8523","Timor-Leste Red Cross Society","CVTL",,,,"Mauane","TL","Ermera","Railaco","Matata",-8.70239,125.38831
"Mr.","Kevin","Polido","Volunteer","kevin.polido@yahoo.com","+(670) 9315-3171","Timor-Leste Red Cross Society","CVTL",,,,"Uata Tefo","TL","Baucau","Baguia","Lari Sula",-8.65619,126.73014
"Mr.","Dinis","Botelheiro","Volunteer","dinis.botelheiro@hotmail.com","+(670) 4770-9647","Timor-Leste Red Cross Society","CVTL",,,,"Lisuabe","TL","Bobonaro","Cailaco","Meligo",-8.93034,125.23967
"Mr.","Alegria","de Araujo","Volunteer","alegria.dearaujo@yahoo.com","+(670) 9324-4885","Timor-Leste Red Cross Society","CVTL",,,,"Bunabiqui","TL","Lautem","Iliomar","Fuat",-8.70733,126.83811
"Ms.","Catarina","Helena","Volunteer","catarina.helena@yahoo.com","+(670) 4144-7761","Timor-Leste Red Cross Society","CVTL",,,,"Datolia","TL","Bobonaro","Balibo","Leolima",-8.90364,125.05085
"Mr.","Sergio","Freitas","Volunteer","sergio.freitas@yahoo.com","+(670) 9411-6857","Timor-Leste Red Cross Society","CVTL",,,,"Lassorolai","TL","Baucau","Quelicai","Laisorolai de Cima",-8.65756,126.53263
"Ms.","Joana","Da Costa","Volunteer","joana.dacosta@hotmail.com","+(670) 8046-7015","Timor-Leste Red Cross Society","CVTL",,,,"Nunoti","TL","Baucau","Vemase","Lioluba",-8.5711,126.33683
"Mr.","Adelino","Caldeira","Volunteer","adelino.caldeira@yahoo.com","+(670) 3740-5256","Timor-Leste Red Cross Society","CVTL",,,,"Weono","TL","Bobonaro","Balibo","Cowa",-9.02704,124.95232
"Mr.","Hermengildo","Rente","Volunteer","hermengildo.rente@gmail.com","+(670) 4428-4571","Timor-Leste Red Cross Society","CVTL",,,,"Alaua","TL","Baucau","Baguia","Alaua Leten",-8.62812,126.65557
"Mr.","Apolinario","da Silva","Volunteer","apolinario.dasilva@hotmail.com","+(670) 4933-5174","Timor-Leste Red Cross Society","CVTL",,,,"Ohobin","TL","Bobonaro","Bobonaro","Lourba",-9.0191,125.36539
"Mr.","Joaquim","Tilman","Volunteer","joaquim.tilman@hotmail.com","+(670) 7414-2196","Timor-Leste Red Cross Society","CVTL",,,,"Benoko","TL","Oecusse","Pante Macasar","Lalisuc",-9.25498,124.34691
"Mr.","Diana","Moniz","Volunteer","diana.moniz@gmail.com","+(670) 1776-4380","Timor-Leste Red Cross Society","CVTL",,,,"Larmera","TL","Manatuto","Laclubar","Fatumaquerec",-8.72346,125.97739
"Mr.","Domingos","Xavier","Volunteer","domingos.xavier@yahoo.com","+(670) 3896-6387","Timor-Leste Red Cross Society","CVTL",,,,"Urupadan","TL","Aileu","Liquidoe","Acubilitoho",-8.71235,125.66867
"Mr.","Kevin","Polido","Volunteer","kevin.polido@hotmail.com","+(670) 3500-5827","Timor-Leste Red Cross Society","CVTL",,,,"Afaloicai","TL","Baucau","Baguia","Afaloicai",-8.65833,126.61111
"Mr.","Lourenco","Liub","Volunteer","lourenco.liub@yahoo.com","+(670) 6799-5820","Timor-Leste Red Cross Society","CVTL",,,,"Com","TL","Lautem","Lautem","Com",-8.35603,127.05642
"Mr.","Custodio","de Fatima","Volunteer","custodio.defatima@hotmail.com","+(670) 5699-6915","Timor-Leste Red Cross Society","CVTL",,,,"Acubira","TL","Bobonaro","Cailaco","Manapa",-8.96788,125.23007
"Mr.","Duarte","de Deus","Volunteer","duarte.dedeus@gmail.com","+(670) 1145-2313","Timor-Leste Red Cross Society","CVTL",,,,"Dualanok","TL","Bobonaro","Balibo","Leolima",-8.91302,125.09091
"Mr.","Joaquim","Tilman","Volunteer","joaquim.tilman@gmail.com","+(670) 7085-8690","Timor-Leste Red Cross Society","CVTL",,,,"Uaineque","TL","Baucau","Baucau","Bahu",-8.46081,126.4308
"Mr.","Joaquim","Tilman","Volunteer","joaquim.tilman@hotmail.com","+(670) 6343-2661","Timor-Leste Red Cross Society","CVTL",,,,"Tequino Mata","TL","Baucau","Laga","Tequino Mata",-8.47796,126.58655
"Mr.","Eduardo","Rilo","Volunteer","eduardo.rilo@gmail.com","+(670) 7232-1815","Timor-Leste Red Cross Society","CVTL",,,,"Risso","TL","Manufahi","Turiscai","Caimauc",-8.82053,125.70317
"Mr.","Abelito","de Jesus","Volunteer","abelito.dejesus@hotmail.com","+(670) 7085-3742","Timor-Leste Red Cross Society","CVTL",,,,"Pisulara","TL","Bobonaro","Cailaco","Meligo",-8.91423,125.2219
"Mr.","Martinho","Jose da C.","Volunteer","martinho.josedac.@yahoo.com","+(670) 8362-5846","Timor-Leste Red Cross Society","CVTL",,,,"Manusae","TL","Ermera","Letefoho","Ducurai",-8.82746,125.4564
"Mr.","Dinis","Gomes","Volunteer","dinis.gomes@gmail.com","+(670) 2390-7622","Timor-Leste Red Cross Society","CVTL",,,,"Kapuas","TL","Viqueque","Uatucarbau","Uani Uma",-8.75913,126.65734
"Mr.","Juvenal","Barreto","Volunteer","juvenal.barreto@yahoo.com","+(670) 5165-6500","Timor-Leste Red Cross Society","CVTL",,,,"Uaitoque","TL","Baucau","Venilale","Baha Mori",-8.60632,126.41282
"Mr.","Joao","Pinto Soares","Volunteer","joao.pintosoares@hotmail.com","+(670) 2845-2972","Timor-Leste Red Cross Society","CVTL",,,,"Merigi","TL","Ermera","Letefoho","Catrai Leten",-8.87526,125.41266
"Mr.","Agapito","da Silva","Volunteer","agapito.dasilva@yahoo.com","+(670) 6999-8617","Timor-Leste Red Cross Society","CVTL",,,,"Galaimata","TL","Ermera","Atsabe","Leimea Leten",-8.8882,125.38398
"Ms.","Antonio","de Oliveira","Volunteer","antonio.deoliveira@gmail.com","+(670) 7567-4793","Timor-Leste Red Cross Society","CVTL",,,,"Narlolo","TL","Ermera","Hatolia","Hatolia",-8.81961,125.35198
"Mr.","Vidiana","Xareal","Volunteer","vidiana.xareal@hotmail.com","+(670) 5934-2711","Timor-Leste Red Cross Society","CVTL",,,,"Nuren","TL","Bobonaro","Balibo","Leohito",-9.01973,125.06044
"Ms.","Joao","Pala","Volunteer","joao.pala@yahoo.com","+(670) 6298-8402","Timor-Leste Red Cross Society","CVTL",,,,"Berluli","TL","Ermera","Ermera","Poetete",-8.73453,125.41031
"Ms.","Domingos","Lafu","Volunteer","domingos.lafu@gmail.com","+(670) 4015-6948","Timor-Leste Red Cross Society","CVTL",,,,"Lauten","TL","Lautem","Lautem","Pairara",-8.36161,126.90577
"Mr.","Marcelo","Otilia","Volunteer","marcelo.otilia@gmail.com","+(670) 1654-9281","Timor-Leste Red Cross Society","CVTL",,,,"Klohor","TL","Covalima","Fohorem","Lactos",-9.25862,125.09403
"Mr.","Angelino","M. Pereira","Volunteer","angelino.m.pereira@hotmail.com","+(670) 4429-3728","Timor-Leste Red Cross Society","CVTL",,,,"Vila Verde","TL","Dili","Vera Cruz","Vila Verde",-8.5579,125.56633
"Mr.","Maria","Gorette","Volunteer","maria.gorette@yahoo.com","+(670) 7366-6551","Timor-Leste Red Cross Society","CVTL",,,,"Fatobalon","TL","Manatuto","Barique/Natarbora","Manehat",-8.91371,125.97151
"Ms.","Agostinho","Boavida","Volunteer","agostinho.boavida@gmail.com","+(670) 9092-7898","Timor-Leste Red Cross Society","CVTL",,,,"Oalgomo","TL","Bobonaro","Bobonaro","Ai-Assa",-9.0625,125.33472
"Ms.","Joao","Baptista","Volunteer","joao.baptista@gmail.com","+(670) 2756-9222","Timor-Leste Red Cross Society","CVTL",,,,"Uaiharabo'o","TL","Baucau","Vemase","Uatu-Lari",-8.56806,126.33521
"Mr.","Ruben","Pereira","Volunteer","ruben.pereira@gmail.com","+(670) 9520-6462","Timor-Leste Red Cross Society","CVTL",,,,"Oges","TL","Covalima","Maucatar","Ogues",-9.26491,125.21452
"Mr.","Marcelo","Otilia","Volunteer","marcelo.otilia@gmail.com","+(670) 6896-7367","Timor-Leste Red Cross Society","CVTL",,,,"Rehatu","TL","Manatuto","Laclo","Hohorai",-8.58971,125.80375
"Mr.","Fernando","Goncalves","Volunteer","fernando.goncalves@gmail.com","+(670) 8214-1261","Timor-Leste Red Cross Society","CVTL",,,,"Delubo","TL","Manufahi","Turiscai","Beremana",-8.85838,125.71757
"Mr.","Jose","de Araujo","Volunteer","jose.dearaujo@yahoo.com","+(670) 9851-8650","Timor-Leste Red Cross Society","CVTL",,,,"Taolen","TL","Oecusse","Pante Macasar","Costa",-9.27681,124.40032
"Mr.","Maria","Gorette","Volunteer","maria.gorette@yahoo.com","+(670) 3636-8213","Timor-Leste Red Cross Society","CVTL",,,,"Laiuru","TL","Manufahi","Same","Babulo",-9.02525,125.6535
"Ms.","Margarida","Sevinate","Volunteer","margarida.sevinate@gmail.com","+(670) 2709-6460","Timor-Leste Red Cross Society","CVTL",,,,"Caraubalo","TL","Viqueque","Viqueque","Caraubalo",-8.85898,126.36353
"Mr.","Carlota","Chilro","Volunteer","carlota.chilro@hotmail.com","+(670) 6566-8990","Timor-Leste Red Cross Society","CVTL",,,,"Nuslao","TL","Oecusse","Pante Macasar","Bobocase",-9.27639,124.3625
"Mr.","Marcelino","Albuquequer","Volunteer","marcelino.albuquequer@yahoo.com","+(670) 2272-2940","Timor-Leste Red Cross Society","CVTL",,,,"Lurato","TL","Lautem","Iliomar","Cainliu",-8.66961,126.83194
"Mr.","Diana","Moniz","Volunteer","diana.moniz@yahoo.com","+(670) 1583-1033","Timor-Leste Red Cross Society","CVTL",,,,"Vila","TL","Dili","Atauro","Atauro Vila/Maumeta",-8.26368,125.60152
"Mr.","Alexandra","Botelheiro","Volunteer","alexandra.botelheiro@hotmail.com","+(670) 7541-5617","Timor-Leste Red Cross Society","CVTL",,,,"Fatuhou","TL","Liquiçá","Bazartete","Leorema",-8.68251,125.36819
"Mr.","Johanes","Bosco  Soares","Volunteer","johanes.boscosoares@gmail.com","+(670) 3800-1202","Timor-Leste Red Cross Society","CVTL",,,,"Carlilo","TL","Manatuto","Manatuto","Aiteas",-8.53368,126.00626
"Mr.","Cesar","Bruno","Volunteer","cesar.bruno@yahoo.com","+(670) 9666-9580","Timor-Leste Red Cross Society","CVTL",,,,"Loribia","TL","Bobonaro","Maliana","Ritabou",-8.99015,125.28369
"Mr.","Telma","Otilia","Volunteer","telma.otilia@gmail.com","+(670) 1444-5228","Timor-Leste Red Cross Society","CVTL",,,,"Oeto","TL","Manufahi","Alas","Dotic",-9.06026,125.93374
"Ms.","Agostinho","Boavida","Volunteer","agostinho.boavida@hotmail.com","+(670) 1410-9750","Timor-Leste Red Cross Society","CVTL",,,,"Sabomata","TL","Manatuto","Laclo","Hohorai",-8.62912,125.78085
"Ms.","Agostinho","Boavida","Volunteer","agostinho.boavida@gmail.com","+(670) 7908-3901","Timor-Leste Red Cross Society","CVTL",,,,"Manoroni","TL","Dili","Cristo Rei","Hera",-8.53889,125.68056
"Ms.","Quito","Duarte","Volunteer","quito.duarte@yahoo.com","+(670) 4237-6867","Timor-Leste Red Cross Society","CVTL",,,,"Gugulai","TL","Baucau","Quelicai","Guruca",-8.57917,126.6
"Mr.","Telma","Marques","Volunteer","telma.marques@gmail.com","+(670) 9852-7910","Timor-Leste Red Cross Society","CVTL",,,,"Nunudamar","TL","Aileu","Remexio","Tulataqueo",-8.61575,125.70937
"Mr.","Paulino","de Deus","Volunteer","paulino.dedeus@hotmail.com","+(670) 7164-3116","Timor-Leste Red Cross Society","CVTL",,,,"Batas","TL","Manufahi","Same","Tutuluro",-8.93785,125.70554
"Mr.","Custodio","de Fatima","Volunteer","custodio.defatima@yahoo.com","+(670) 2058-4852","Timor-Leste Red Cross Society","CVTL",,,,"Kaitara","TL","Ainaro","Maubisse","Fatu-besi",-8.81253,125.61814
"Mr.","Noti","de Jesus Alves","Volunteer","noti.dejesusalves@gmail.com","+(670) 8794-1533","Timor-Leste Red Cross Society","CVTL",,,,"Nubani","TL","Oecusse","Pante Macasar","Naimeco",-9.31427,124.40289
"Mr.","Daniela","Adevinha","Volunteer","daniela.adevinha@gmail.com","+(670) 3743-7334","Timor-Leste Red Cross Society","CVTL",,,,"Oerbora","TL","Covalima","Zumalai","Raimea",-9.18803,125.50193
"Mr.","Joaninha","Xavier","Volunteer","joaninha.xavier@hotmail.com","+(670) 3171-2537","Timor-Leste Red Cross Society","CVTL",,,,"Loinuno","TL","Baucau","Vemase","Ossoala",-8.58454,126.33732
"Ms.","Fernanda","Maia","Volunteer","fernanda.maia@gmail.com","+(670) 2939-7646","Timor-Leste Red Cross Society","CVTL",,,,"Tatalalarin","TL","Lautem","Iliomar","Cainliu",-8.69137,126.81563
"Mr.","Xanana","Cabecinhas","Volunteer","xanana.cabecinhas@hotmail.com","+(670) 6585-9160","Timor-Leste Red Cross Society","CVTL",,,,"Oebola","TL","Bobonaro","Atabae","Atabae",-8.76443,125.19451
"Ms.","Mario","Moniz","Volunteer","mario.moniz@gmail.com","+(670) 7583-6803","Timor-Leste Red Cross Society","CVTL",,,,"Mota Ulun","TL","Dili","Cristo Rei","Becora",-8.57308,125.6142
"Ms.","Sebastiao","da Costa","Volunteer","sebastiao.dacosta@gmail.com","+(670) 9950-8331","Timor-Leste Red Cross Society","CVTL",,,,"Vazetida Algar","TL","Liquiçá","Liquiçá","Leoteala",-8.66528,125.3316
"Mr.","Diana","Zolo","Volunteer","diana.zolo@hotmail.com","+(670) 3376-7245","Timor-Leste Red Cross Society","CVTL",,,,"Loribia","TL","Bobonaro","Maliana","Ritabou",-8.99015,125.28369
"Mr.","Andreia","Sereno","Volunteer","andreia.sereno@yahoo.com","+(670) 5652-6396","Timor-Leste Red Cross Society","CVTL",,,,"Pante Macasar","TL","Oecusse","Pante Macasar","Costa",-9.20282,124.36839
"Mr.","Cesar","Bruno","Volunteer","cesar.bruno@yahoo.com","+(670) 9758-4842","Timor-Leste Red Cross Society","CVTL",,,,"Usafin","TL","Oecusse","Passabe","Abani",-9.46013,124.34585
"Mr.","Telma","Marques","Volunteer","telma.marques@hotmail.com","+(670) 7155-2783","Timor-Leste Red Cross Society","CVTL",,,,"Lukulaulau","TL","Ermera","Hatolia","Ailelo",-8.81806,125.30833
"Ms.","Lucas","Godinho ","Volunteer","lucas.godinho@hotmail.com","+(670) 5328-9240","Timor-Leste Red Cross Society","CVTL",,,,"Lari Sula","TL","Baucau","Baguia","Lari sula",-8.65408,126.72809
"Mr.","Joel","Uva","Volunteer","joel.uva@hotmail.com","+(670) 7862-5248","Timor-Leste Red Cross Society","CVTL",,,,"Saben","TL","Oecusse","Oesilo","Bobometo",-9.35407,124.37324
"Mr.","Tomas","F. Branco","Volunteer","tomas.f.branco@yahoo.com","+(670) 4686-9019","Timor-Leste Red Cross Society","CVTL",,,,"Peumate","TL","Bobonaro","Atabae","Atabae",-8.83056,125.20278
"Mr.","Nilton","Direitinho","Volunteer","nilton.direitinho@yahoo.com","+(670) 6968-3864","Timor-Leste Red Cross Society","CVTL",,,,"Boboe","TL","Ermera","Ermera","Lauala",-8.75145,125.45377
"Ms.","Venancio","Soares","Volunteer","venancio.soares@yahoo.com","+(670) 1358-9999","Timor-Leste Red Cross Society","CVTL",,,,"Fahilebu","TL","Manufahi","Turiscai","Beremana",-8.84815,125.72029
"Mr.","Jose","da Silva","Volunteer","jose.dasilva@yahoo.com","+(670) 5500-2661","Timor-Leste Red Cross Society","CVTL",,,,"Sucatin","TL","Manatuto","Laclo","Lacumesac",-8.56464,125.89948
"Mr.","Domingos","da Costa Oliveira","Volunteer","domingos.dacostaoliveira@hotmail.com","+(670) 5101-5421","Timor-Leste Red Cross Society","CVTL",,,,"Harare","TL","Bobonaro","Bobonaro","Malilait",-9.01092,125.32933
"Mr.","Duarte","Guterres","Volunteer","duarte.guterres@hotmail.com","+(670) 9720-6680","Timor-Leste Red Cross Society","CVTL",,,,"Leguiloiuatu","TL","Baucau","Baucau","Triloca",-8.51089,126.3622
"Mr.","Vanessa","Mondego","Volunteer","vanessa.mondego@yahoo.com","+(670) 6670-4161","Timor-Leste Red Cross Society","CVTL",,,,"Aliatu","TL","Ermera","Atsabe","Paramin",-8.92701,125.40612
"Ms.","Maria","Gorette","Volunteer","maria.gorette@gmail.com","+(670) 2186-8069","Timor-Leste Red Cross Society","CVTL",,,,"Berukulun","TL","Dili","Cristo Rei","Hera",-8.54722,125.67083
"Mr.","Eduarda","de Jesus","Volunteer","eduarda.dejesus@yahoo.com","+(670) 6882-1080","Timor-Leste Red Cross Society","CVTL",,,,"Olekata","TL","Ermera","Atsabe","Leimea Leten",-8.89133,125.40147
"Ms.","Rosa","Fernandes Baptista","Volunteer","rosa.fernandesbaptista@gmail.com","+(670) 1277-7301","Timor-Leste Red Cross Society","CVTL",,,,"Tatadere","TL","Viqueque","Uatucarbau","Afaloicai",-8.65512,126.65694
"Mr.","Donato","Pinheiro","Volunteer","donato.pinheiro@hotmail.com","+(670) 6802-6606","Timor-Leste Red Cross Society","CVTL",,,,"Fuiloro","TL","Lautem","Lospalos","Fuiloro",-8.50844,126.98987
"Mr.","Nuno","Gouveia Leite","Volunteer","nuno.gouveialeite@yahoo.com","+(670) 4434-9230","Timor-Leste Red Cross Society","CVTL",,,,"Lepulau","TL","Ainaro","Hatu-Builico","Nuno-Mogue",-8.94081,125.54089
"Ms.","Herculano","Cabecinhas","Volunteer","herculano.cabecinhas@hotmail.com","+(670) 1788-7540","Timor-Leste Red Cross Society","CVTL",,,,"Tepa","TL","Bobonaro","Lolotoe","Deudet",-9.13736,125.28589
"Mr.","Heitor","Urbana","Volunteer","heitor.urbana@yahoo.com","+(670) 2946-9589","Timor-Leste Red Cross Society","CVTL",,,,"Futuisin","TL","Covalima","Suai","Camenasa",-9.32178,125.2826
"Mr.","Afonso","Alves","Volunteer","afonso.alves@gmail.com","+(670) 7513-7984","Timor-Leste Red Cross Society","CVTL",,,,"Ailora","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.11379,125.64147
"Mr.","Duarte","Guterres","Volunteer","duarte.guterres@gmail.com","+(670) 2354-2169","Timor-Leste Red Cross Society","CVTL",,,,"Vataomar","TL","Lautem","Iliomar","Fuat",-8.687,126.86009
"Mr.","Telma","Marques","Volunteer","telma.marques@yahoo.com","+(670) 6353-1291","Timor-Leste Red Cross Society","CVTL",,,,"Lisaico","TL","Liquiçá","Maubara","Lissadila",-8.66391,125.255
"Mr.","Graciano","Pereira","Volunteer","graciano.pereira@yahoo.com","+(670) 9195-7369","Timor-Leste Red Cross Society","CVTL",,,,"Leber","TL","Bobonaro","Bobonaro","Leber",-9.075,125.25417
"Mr.","Alcino","Martins","Volunteer","alcino.martins@yahoo.com","+(670) 1220-7366","Timor-Leste Red Cross Society","CVTL",,,,"Palistela","TL","Liquiçá","Maubara","Gugleur",-8.65945,125.14304
"Mr.","Clementino","Amaral ","Volunteer","clementino.amaral@hotmail.com","+(670) 1818-7033","Timor-Leste Red Cross Society","CVTL",,,,"Hahitali","TL","Ainaro","Maubisse","Manetu",-8.86265,125.65966
"Mr.","Hermengildo","Rente","Volunteer","hermengildo.rente@gmail.com","+(670) 5459-2349","Timor-Leste Red Cross Society","CVTL",,,,"Lookeu","TL","Covalima","Suai","Debos",-9.32318,125.24553
"Mr.","Diana","Moniz","Volunteer","diana.moniz@gmail.com","+(670) 1805-1133","Timor-Leste Red Cross Society","CVTL",,,,"Pala","TL","Dili","Atauro","Biceli",-8.18391,125.62902
"Mr.","Julio","da Costa Lopes","Volunteer","julio.dacostalopes@gmail.com","+(670) 8584-6843","Timor-Leste Red Cross Society","CVTL",,,,"Vazetida Algar","TL","Liquiçá","Liquiçá","Leoteala",-8.66528,125.3316
"Mr.","Lucas","Godinho ","Volunteer","lucas.godinho@gmail.com","+(670) 2725-1373","Timor-Leste Red Cross Society","CVTL",,,,"Renumata","TL","Ermera","Letefoho","Ducurai",-8.84105,125.45708
"Ms.","Joel","Uva","Volunteer","joel.uva@gmail.com","+(670) 7843-6553","Timor-Leste Red Cross Society","CVTL",,,,"Fatuhada","TL","Dili","Dom Aleixo","Fatuhada",-8.55309,125.55593
"Mr.","Heitor","Urbana","Volunteer","heitor.urbana@gmail.com","+(670) 3473-4941","Timor-Leste Red Cross Society","CVTL",,,,"Aitemua","TL","Ermera","Hatolia","Fatubolu",-8.75116,125.3582
"Ms.","Alegria","de Araujo","Volunteer","alegria.dearaujo@gmail.com","+(670) 3126-9579","Timor-Leste Red Cross Society","CVTL",,,,"Ausur","TL","Ainaro","Hatu-udo","Leolima",-9.12902,125.57946
"Mr.","Ruben","Freitas","Volunteer","ruben.freitas@yahoo.com","+(670) 2128-3750","Timor-Leste Red Cross Society","CVTL",,,,"Dirihatilau","TL","Ermera","Hatolia","Asulau",-8.7463,125.24412
"Mr.","Cesar","Da Silva ","Volunteer","cesar.dasilva@yahoo.com","+(670) 7079-4898","Timor-Leste Red Cross Society","CVTL",,,,"Ukbatan","TL","Oecusse","Oesilo","Bobometo",-9.39636,124.35915
"Mr.","Estanislao","Guterres","Volunteer","estanislao.guterres@yahoo.com","+(670) 2666-3636","Timor-Leste Red Cross Society","CVTL",,,,"Nubadak","TL","Bobonaro","Balibo","Batugade",-8.94204,124.97816
"Ms.","Guido","Belo","Volunteer","guido.belo@hotmail.com","+(670) 9413-8285","Timor-Leste Red Cross Society","CVTL",,,,"Uebicas","TL","Manufahi","Fatuberliu","Clacuc",-9.01543,126.00625
