"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Branch","Office Phone","Office","Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Ms.","Alvina","Benjamin","Volunteer","alvina.benjamin@gmail.com",-10977,"World Vision","New York",-12333,"World Vision New York Office",,,,,,,,
"Ms.","Cristina","Patterson","Volunteer","cristina.patterson@gmail.com",-16234,"Salvation Army","Salvation Army of Greater New York",-3960,"Salvation Army Donation Center Office",,,,,,,,
"Mr.","Josef","Briggs","Volunteer","josef.briggs@yahoo.com",-12321,"American Red Cross","American Red Cross of Greater New York",-18137,"American Red Cross Greater New York Office",,,,,,,,
"Mr.","Numbers","Reid","Volunteer","numbers.reid@gmail.com",-12465,"Goodwill Industries","Greater New York",-15352,"Goodwill Industries Greater New York Office",,,,,,,,
"Ms.","Joslyn","Beltran","Volunteer","joslyn.beltran@gmail.com",-10001,"Food Bank for New York City",,-13455,"Food Bank for New York City Office",,,,,,,,
"Mr.","Lindsey","Pennington","Volunteer","lindsey.pennington@gmail.com",-12965,"Buddist Tzu Chi Foundation",,-8980,"Buddist Tzu Chi Foundation Office",,,,,,,,
"Ms.","Rachal","Williams","Volunteer","rachal.williams@gmail.com",-14423,"Team Rubicon",,-9511,,,,,,,,,
"Mr.","Ty","Orr","Volunteer","ty.orr@gmail.com",-8292,"Safe Horizon",,-9600,"Safe Horizon Office",,,,,,,,
"Ms.","Nana","Cummings","Volunteer","nana.cummings@gmail.com",-10999,"New York Cares",,-18468,"New York Cares Office",,,,,,,,
"Mr.","Gustavo","Mata","Volunteer","gustavo.mata@gmail.com",-10676,"World Cares Center",,-10275,"World Cares Center Office",,,,,,,,
"Ms.","Hortense","Fischer","Volunteer","hortense.fischer@gmail.com",-10977,"World Vision","New York",-12333,"World Vision New York Office",,,,,,,,
"Ms.","Merrilee","Vazquez","Volunteer","merrilee.vazquez@yahoo.com",-16234,"Salvation Army","Salvation Army of Greater New York",-3960,"Salvation Army Donation Center Office",,,,,,,,
"Ms.","Allie","Curtis","Volunteer","allie.curtis@yahoo.com",-12321,"American Red Cross","American Red Cross of Greater New York",-18137,"American Red Cross Greater New York Office",,,,,,,,
"Mr.","Jonah","Castaneda","Volunteer","jonah.castaneda@gmail.com",-12465,"Goodwill Industries","Greater New York",-15352,"Goodwill Industries Greater New York Office",,,,,,,,
"Ms.","Doreatha","Tran","Volunteer","doreatha.tran@yahoo.com",-10001,"Food Bank for New York City",,-13455,"Food Bank for New York City Office",,,,,,,,
"Ms.","Altagracia","Jones","Volunteer","altagracia.jones@yahoo.com",-12965,"Buddist Tzu Chi Foundation",,-8980,"Buddist Tzu Chi Foundation Office",,,,,,,,
"Ms.","Monica","Figueroa","Volunteer","monica.figueroa@yahoo.com",-14423,"Team Rubicon",,-9511,,,,,,,,,
"Ms.","Necole","Conley","Volunteer","necole.conley@gmail.com",-8292,"Safe Horizon",,-9600,"Safe Horizon Office",,,,,,,,
"Mr.","Royal","Rogers","Volunteer","royal.rogers@gmail.com",-10999,"New York Cares",,-18468,"New York Cares Office",,,,,,,,
"Mr.","Ulysses","Roy","Volunteer","ulysses.roy@gmail.com",-10676,"World Cares Center",,-10275,"World Cares Center Office",,,,,,,,
"Mr.","Marco","Cook","Volunteer","marco.cook@gmail.com",-10977,"World Vision","New York",-12333,"World Vision New York Office",,,,,,,,
"Mr.","Colton","Byrd","Volunteer","colton.byrd@yahoo.com",-16234,"Salvation Army","Salvation Army of Greater New York",-3960,"Salvation Army Donation Center Office",,,,,,,,
"Mr.","Douglas","Ramsey","Volunteer","douglas.ramsey@yahoo.com",-12321,"American Red Cross","American Red Cross of Greater New York",-18137,"American Red Cross Greater New York Office",,,,,,,,
"Mr.","Mark","Blake","Volunteer","mark.blake@gmail.com",-12465,"Goodwill Industries","Greater New York",-15352,"Goodwill Industries Greater New York Office",,,,,,,,
"Ms.","Jene","Best","Volunteer","jene.best@yahoo.com",-10001,"Food Bank for New York City",,-13455,"Food Bank for New York City Office",,,,,,,,
"Ms.","Virgen","Sellers","Volunteer","virgen.sellers@yahoo.com",-12965,"Buddist Tzu Chi Foundation",,-8980,"Buddist Tzu Chi Foundation Office",,,,,,,,
"Mr.","Neil","Mckee","Volunteer","neil.mckee@yahoo.com",-14423,"Team Rubicon",,-9511,,,,,,,,,
"Ms.","Samella","James","Volunteer","samella.james@yahoo.com",-8292,"Safe Horizon",,-9600,"Safe Horizon Office",,,,,,,,
"Mr.","Maurice","Frederick","Volunteer","maurice.frederick@yahoo.com",-10999,"New York Cares",,-18468,"New York Cares Office",,,,,,,,
"Mr.","Erwin","Howell","Volunteer","erwin.howell@yahoo.com",-10676,"World Cares Center",,-10275,"World Cares Center Office",,,,,,,,
